Le02R_X,Le02R_Y,Le02R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-2.2992,22.025,12.103,-3.746,22.766,9.7909,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
-0.12645,18.373,17.894,-5.227829,18.559642,19.28339,0.092523,15.338,20.338,-2.7923,17.634,19.422,-0.046014,20.556,14.646,-2.2376,21.819,11.86,-3.6705,22.539,9.5053,-6.2024,24.117,8.4425,-2.924642,21.828998,12.951206,-4.602505,22.567856,11.84483,-6.8404,23.188,11.419,-3.683,20.982,15.485,-5.5348,21.14,15.726,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.11514,14.205,21.811,-2.3188,13.715,22.037,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.5361,22.466,13.862,-5.9422,23.748,9.9716
-0.07347,18.327,17.806,NaN,NaN, NaN ,0.13672,15.354,20.343,-2.7374,17.625,19.329,-0.017738,20.409,14.475,-2.1658,21.586,11.616,-3.5698,22.273,9.2333,-6.0481,23.834,8.076,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.7464,22.972,11.083,-3.6519,20.855,15.277,-5.5069,21.044,15.505,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.074645,14.223,21.78,-2.2671,13.739,22.045,NaN,NaN, NaN ,-1.3497,16.309,19.914,-1.3003,19.073,17.4,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.489,22.329,13.566,-5.831,23.48,9.6155
-0.018298,18.271,17.719,-5.139874,18.449386,19.038197,0.18306,15.37,20.349,-2.6785,17.586,19.221,0.01458,20.352,14.294,-2.08,21.332,11.379,-3.45,21.977,8.957,-5.8805,23.514,7.7136,-2.765619,21.460231,12.471309,-4.457453,22.346647,11.30444,-6.64,22.759,10.748,-3.6254,20.741,15.087,-5.483,20.944,15.292,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.025683,14.255,21.79,-2.2287,13.763,22.026,NaN,NaN, NaN ,-1.3007,16.291,19.883,-1.2538,18.993,17.275,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.4435,22.188,13.275,-5.7102,23.186,9.2738
0.037784,18.21,17.636,NaN,NaN, NaN ,0.22944,15.392,20.354,-2.6159,17.551,19.141,0.060045,20.292,14.132,-1.9806,21.083,11.153,-3.3175,21.645,8.6941,-5.7253,23.169,7.3746,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.5321,22.505,10.415,-3.5745,20.59,14.879,-5.4374,20.811,15.077,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,0.023855,14.288,21.797,-2.1757,13.787,22.039,NaN,NaN, NaN ,-1.2445,16.302,19.858,-1.2027,18.913,17.153,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.3807,21.99,12.979,-5.5819,22.869,8.9411
0.099454,18.147,17.549,-5.031344,18.418755,18.841159,0.27698,15.414,20.36,-2.5583,17.526,19.078,0.11746,20.012,13.98,-1.8813,20.826,10.932,-3.1716,21.342,8.4553,-5.5605,22.8,7.0472,-2.60071,21.062035,12.048283,-4.239269,21.775164,10.757547,-6.4091,22.209,10.103,-3.5195,20.45,14.678,-5.3856,20.671,14.852,NaN,NaN, NaN ,-4.5631,14.308,21.867,NaN,NaN, NaN ,0.070319,14.322,21.804,-2.1232,13.823,22.048,NaN,NaN, NaN ,-1.1944,16.305,19.823,-1.1473,18.825,17.031,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.3083,21.763,12.689,-5.4451,22.535,8.621
0.15983,18.07,17.465,NaN,NaN, NaN ,0.3235,15.435,20.362,-2.5014,17.502,19.011,0.18131,19.823,13.829,-1.7705,20.557,10.73,-3.0295,20.988,8.2096,-5.3925,22.407,6.7361,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.2807,21.87,9.791,-3.462,20.293,14.481,-5.3185,20.502,14.626,NaN,NaN, NaN ,-4.5286,14.38,21.881,NaN,NaN, NaN ,0.12289,14.364,21.812,-2.0731,13.852,22.062,NaN,NaN, NaN ,-1.147,16.314,19.779,-1.0864,18.739,16.914,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.2222,21.491,12.396,-5.294,22.19,8.3239
0.22571,17.995,17.382,-4.935842,18.445818,18.627323,0.36912,15.462,20.367,-2.4424,17.471,18.933,0.25966,19.633,13.685,-1.6295,20.177,10.548,-2.8639,20.624,7.9945,-5.2211,21.994,6.4454,-2.390826,20.53587,11.600481,-4.050733,21.184587,10.211639,-6.1442,21.53,9.4997,-3.3879,20.11,14.284,-5.2525,20.328,14.399,NaN,NaN, NaN ,-4.4781,14.425,21.901,NaN,NaN, NaN ,0.17076,14.396,21.819,-2.0199,13.886,22.074,NaN,NaN, NaN ,-1.0931,16.308,19.732,-1.0225,18.64,16.799,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.1227,21.192,12.116,-5.1351,21.848,8.0375
0.29563,17.918,17.304,NaN,NaN, NaN ,0.41317,15.492,20.374,-2.3804,17.433,18.853,0.34869,19.536,13.547,-1.4993,19.916,10.368,-2.7104,20.28,7.7886,-5.0463,21.572,6.1796,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.9979,21.169,9.2279,-3.3018,19.93,14.092,-5.175,20.14,14.178,NaN,NaN, NaN ,-4.4316,14.427,21.9,NaN,NaN, NaN ,0.21936,14.435,21.825,-1.9673,13.912,22.084,1.6365,18.141,12.247,-1.0403,16.301,19.705,-0.95109,18.546,16.691,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.0079,20.88,11.85,-4.9671,21.482,7.7724
0.36817,17.846,17.235,-4.807257,18.264054,18.395001,0.45903,15.52,20.379,-2.3179,17.393,18.774,0.44455,19.323,13.417,-1.3765,19.685,10.198,-2.5328,19.929,7.6088,-4.8633,21.147,5.9375,-2.160672,20.060762,11.193166,-3.734101,20.499551,9.735116,-5.8434,20.807,8.9712,-3.2144,19.742,13.903,-5.0838,19.926,13.956,NaN,NaN, NaN ,-4.3675,14.473,21.939,NaN,NaN, NaN ,0.26594,14.484,21.832,-1.9175,13.945,22.098,1.7733,17.976,12.165,-0.98642,16.293,19.684,-0.87581,18.44,16.585,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.6525,19.525,16.015,-5.8801,20.58,11.598,-4.7915,21.115,7.5307
