Le01R_X,Le01R_Y,Le01R_Z,Le02R_X,Le02R_Y,Le02R_Z,Le03R_X,Le03R_Y,Le03R_Z,Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mm02R_X,Mm02R_Y,Mm02R_Z,Mm03R_X,Mm03R_Y,Mm03R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sj19R_X,Sj19R_Y,Sj19R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Sn04R_X,Sn04R_Y,Sn04R_Z,Sn05R_X,Sn05R_Y,Sn05R_Z,Sn06R_X,Sn06R_Y,Sn06R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te04R_X,Te04R_Y,Te04R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te06R_X,Te06R_Y,Te06R_Z,Te07R_X,Te07R_Y,Te07R_Z,Te08R_X,Te08R_Y,Te08R_Z,Te09R_X,Te09R_Y,Te09R_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3871,18.7842,10.7116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7576,19.4533,12.7355,2.9487,20.2455,11.0142,NaN,NaN, NaN ,NaN,NaN, NaN ,12.190099,18.173647,10.242172,12.690047,15.58082,9.821716,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,6.2763,20.2242,9.8997,5.5785,18.4078,9.4144,4.7377,16.4891,9.266,-0.1011,18.2925,12.6514,-0.2044,18.6794,12.66,-1.9959,16.4598,11.9934,5.37184812,18.23440689,14.22311185,3.26919869,17.579801,14.25781806,9.905,23.6827,12.6918,8.693,23.4157,11.7931,4.4843,19.7123,12.0108,5.0135,21.8274,11.1418,7.0866,22.0653,10.4054,8.4548,21.752,10.2841,9.3377,21.9904,10.3373,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4041,19.0014,10.851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8349,19.5193,12.765,3.0085,20.2007,11.1335,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,12.462581,15.706766,9.837297,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,6.1517,20.5025,10.001,5.4352,18.6464,9.5025,4.5978,16.7213,9.3444,-0.0174,18.4785,12.6766,-0.1421,18.7585,12.7127,-1.9706,16.4665,12.0471,5.46065159,18.28511958,14.26530473,3.35326881,17.62610639,14.28842107,9.9162,23.8536,12.6914,8.6676,23.5961,11.857,4.5388,19.793,12.0541,5.0047,21.9671,11.2559,6.9916,22.288,10.5211,8.3351,21.9718,10.3368,9.221,22.1804,10.3475,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4786,19.2625,10.9974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9102,19.5747,12.7963,3.0716,20.2021,11.205,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,12.200094,15.889572,9.86519,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,6.0341,20.7363,10.1009,5.32,18.991,9.5849,4.4015,17.1304,9.4407,0.0266,18.6386,12.7079,-0.0751,18.8449,12.7708,-1.9146,16.6433,12.1156,5.54707228,18.3225232,14.29818435,3.43311328,17.66114254,14.32835172,9.9406,23.9682,12.6843,8.6387,23.7634,11.9301,4.5953,19.8677,12.0993,4.9925,22.1147,11.3871,6.896,22.5237,10.6392,8.2044,22.1824,10.385,9.0937,22.4118,10.3627,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3423,19.2823,11.0646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9886,19.6506,12.8265,3.1073,20.305,11.2611,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,11.935964,16.241391,9.827727,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.9097,20.9901,10.1979,5.1758,19.2307,9.6736,4.2328,17.4322,9.5493,0.0679,18.881,12.7505,-0.012,18.8951,12.8245,-1.8985,16.7183,12.1601,5.62961772,18.35460821,14.33409908,3.51128327,17.70804436,14.3595796,9.8796,23.9008,12.6331,8.6027,23.9279,12.0023,4.6495,19.9393,12.1475,4.985,22.2398,11.5157,6.8057,22.7504,10.7554,8.0738,22.4233,10.4342,8.9584,22.6256,10.3634,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2839,19.352,11.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0683,19.7149,12.8559,3.0939,20.5278,11.3762,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,11.690652,16.43805,9.743499,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.7854,21.2282,10.2886,5.0069,19.4482,9.7631,4.1214,17.5881,9.5787,0.1378,19.018,12.7854,0.0881,18.8875,12.8945,-1.8697,16.9081,12.2332,5.71288528,18.41691632,14.37503656,3.59813957,17.74582531,14.39672067,9.8541,23.9769,12.5859,8.5661,24.1189,12.076,4.7079,20.0197,12.1986,4.9823,22.3742,11.6445,6.7161,22.9488,10.8617,7.9339,22.654,10.4764,8.82,22.8394,10.3656,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7806,18.9667,10.8243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1411,19.7652,12.8879,3.1461,20.5327,11.5054,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,11.407626,16.593982,9.630145,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.6615,21.4825,10.381,4.8634,19.7262,9.8246,3.9455,17.9214,9.644,0.1995,19.0454,12.8549,0.1564,18.9608,12.9555,-1.8536,16.9834,12.2778,5.7929336,18.43918911,14.40718256,3.66699809,17.7736252,14.43225309,9.8922,24.2702,12.5401,8.5546,24.3116,12.112,4.7637,20.0962,12.2506,4.9844,22.4962,11.7669,6.6223,23.1475,10.9655,7.7945,22.872,10.5193,8.6741,23.0443,10.3649,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1324,20.4488,12.4473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2202,19.8325,12.9233,3.1586,20.6735,11.6305,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,11.096828,16.808849,9.468079,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.5346,21.7474,10.4683,4.718,19.9675,9.914,3.7824,18.2283,9.7111,0.2832,19.1224,12.904,0.2255,19.0329,13.015,-1.8101,17.0462,12.318,5.87644392,18.47989926,14.44921716,3.74997245,17.82398566,14.47058406,9.9003,24.4272,12.4853,8.546,24.4849,12.1377,4.8223,20.1708,12.306,4.9933,22.6139,11.8785,6.5444,23.3305,11.0542,7.6559,23.1025,10.5581,8.5268,23.2614,10.3622,NaN,NaN, NaN ,1.766025,18.219619,11.122354,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1905,20.4957,12.5322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2926,19.8838,12.957,3.1776,20.7988,11.7028,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,10.752566,17.095115,9.322217,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.4145,21.9837,10.5524,4.5736,20.2468,9.976,3.6487,18.485,9.78,0.3423,19.2054,12.9519,0.2939,19.0907,13.0772,-1.7811,17.2367,12.3914,5.96034595,18.52761527,14.483169,3.82913111,17.83938605,14.50634011,9.8751,24.4617,12.4246,8.5342,24.6228,12.168,4.878,20.248,12.3611,5.0044,22.7028,11.9787,6.4857,23.4864,11.1209,7.5134,23.324,10.5963,8.3725,23.474,10.3637,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2442,20.5425,12.6137,NaN,NaN,NaN,0.1584,19.286,12.1581,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3717,19.9395,12.9912,3.2214,20.796,11.8043,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,10.448797,17.320215,9.14691,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.2867,22.2362,10.6412,4.4288,20.5267,10.0382,3.5432,18.6809,9.8117,0.3996,19.2295,13.0211,0.3623,19.1544,13.1367,-1.7649,17.3123,12.4362,6.04756142,18.57075416,14.52073622,3.9033496,17.86742037,14.53958183,9.8697,24.6047,12.3597,8.5268,24.7684,12.1898,4.936,20.3235,12.4163,5.0235,22.8166,12.0734,6.3837,23.7064,11.2919,7.3764,23.525,10.627,8.2234,23.6995,10.3634,-0.1411,17.703319,11.744904,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3038,20.5901,12.6998,NaN,NaN,NaN,0.1659,19.4082,12.2505,NaN,NaN,NaN,1.9977,20.4449,11.5915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4405,19.9769,13.0278,3.2441,21.0311,11.8939,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,10.022503,17.238454,8.79996,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.171,22.4794,10.7294,4.2591,20.88,10.1229,3.361,18.8868,9.8812,0.4853,19.3004,13.0653,0.4338,19.2115,13.1945,-1.7265,17.4345,12.519,6.1302783,18.59607245,14.55630737,3.98574556,17.91267029,14.57684455,9.8737,24.86,12.2758,8.5192,24.9048,12.206,4.9837,20.3961,12.4669,5.04,22.9065,12.1698,6.3124,23.9965,11.4213,7.2352,23.7527,10.6584,8.0747,23.9085,10.3602,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3615,20.6525,12.7818,NaN,NaN,NaN,0.1799,19.539,12.3499,NaN,NaN,NaN,1.9939,20.7138,11.6499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5117,20.0221,13.062,3.2931,21.0302,12.0738,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,9.618015,17.458957,8.596028,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,5.0582,22.7381,10.8198,4.1133,21.1616,10.1857,3.2156,19.1878,9.8656,0.5561,19.2989,13.1117,0.503,19.2775,13.2552,-1.688,17.5568,12.6019,6.21028126,18.63239987,14.59134745,4.06486948,17.93528887,14.61394682,9.8614,25.0279,12.1846,8.5127,25.0315,12.2079,5.0321,20.4618,12.5254,5.0867,22.9589,12.2701,6.2611,24.1798,11.4969,7.1086,23.9939,10.7071,7.9301,24.1302,10.3595,NaN,NaN, NaN ,1.484774,19.25474,11.249516,2.688749,19.383551,10.666796,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4172,20.6922,12.8497,NaN,NaN,NaN,0.1931,19.6689,12.4549,NaN,NaN,NaN,1.9314,20.9991,11.7272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5802,20.0618,13.1019,3.3201,21.0528,12.194,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,9.259464,17.790437,8.342653,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,4.9532,22.966,10.9029,3.9904,21.3328,10.254,3.0665,19.3785,9.9323,0.6337,19.2681,13.1963,0.5754,19.3289,13.3189,-1.6718,17.6326,12.6469,6.3011027,18.66972086,14.6207218,4.14453593,17.97064875,14.65568857,9.9008,24.783,12.0875,8.4998,25.157,12.2053,5.0827,20.5257,12.586,5.1079,22.9854,12.3112,6.2092,24.3539,11.5898,6.9913,24.2158,10.7407,7.78,24.3489,10.3624,-0.235821,18.524765,11.833198,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4726,20.7531,12.9148,NaN,NaN,NaN,0.2146,19.7891,12.5673,NaN,NaN,NaN,1.8855,21.1424,11.8955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.647,20.1004,13.137,3.3609,21.288,12.2891,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,8.858138,18.046145,8.117615,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,4.8431,23.1485,10.9863,3.819,21.6887,10.3395,2.8562,19.7554,9.9638,0.7145,19.1675,13.2471,0.6474,19.3731,13.3773,-1.6608,17.7679,12.7344,6.37348335,18.68765109,14.66337443,4.22195419,18.00133459,14.69606039,9.9526,25.4955,11.9163,8.4869,25.2939,12.1924,5.1298,20.588,12.6471,NaN,NaN, NaN ,6.1591,24.5482,11.6799,6.8619,24.4294,10.7791,7.6397,24.5524,10.3783,NaN,NaN, NaN ,1.358569,19.560596,11.385155,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.523,20.7967,12.9848,1.5793,20.3511,12.9293,0.2436,19.91,12.6762,1.5075,19.6527,11.9539,1.8077,21.2364,12.0139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7095,20.1379,13.1733,3.4037,21.3397,12.3804,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,8.383113,18.749079,7.808653,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,4.7479,23.3339,11.0688,3.6707,21.9341,10.4307,2.6827,20.0975,9.9965,0.7641,19.2219,13.2795,0.7142,19.4228,13.4373,-1.5894,17.8186,12.7705,6.45103586,18.7226897,14.70058092,4.29639923,18.02419985,14.72864668,9.9173,25.6785,11.7888,8.4698,25.4389,12.166,5.1765,20.6405,12.7073,5.1973,23.3076,12.5629,6.1187,24.7251,11.7641,6.7505,24.6517,10.825,7.4931,24.7641,10.397,NaN,NaN, NaN ,NaN,NaN, NaN ,2.376932,20.110818,10.856692,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6412,20.3897,13.0061,0.2814,19.9901,12.7821,1.4641,19.8064,12.0643,1.8395,21.4175,12.1429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.781,20.1697,13.2079,3.4326,21.4253,12.4896,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,7.934114,18.952526,7.603327,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,4.6513,23.5629,11.1567,3.5231,22.2183,10.4944,2.4338,20.4237,10.0009,0.8379,19.4924,13.3436,0.7836,19.468,13.493,-1.5783,17.9542,12.8583,6.53405031,18.76151645,14.7352134,4.37166474,18.05320553,14.76621776,10.0097,25.8362,11.6213,8.4575,25.5706,12.1308,5.2182,20.6947,12.7686,5.2413,23.4177,12.6574,6.0879,24.893,11.8393,6.655,24.8772,10.8792,7.359,24.9473,10.409,-0.267509,19.246853,12.001035,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7001,20.4319,13.0735,0.3213,20.0868,12.8862,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,3.5361,23.0697,12.0186,2.7427,22.04,11.5976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8527,20.211,13.2461,3.4894,21.4729,12.5834,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,7.395946,18.829264,7.309651,5.804105,24.285351,9.843045,NaN,NaN, NaN ,NaN,NaN, NaN ,4.5749,23.7467,11.2587,3.3739,22.4647,10.5861,2.2853,20.6547,10.0599,0.933,19.5607,13.3825,0.8593,19.5109,13.5531,-1.5671,18.0899,12.9462,6.61448396,18.80764278,14.77532564,4.45789305,18.08492262,14.8067961,9.9374,25.9482,11.4992,8.4475,25.6983,12.0872,5.2664,20.752,12.8341,5.2909,23.5298,12.7444,6.06,25.0535,11.9073,6.5705,25.0774,10.9426,7.2337,25.1834,10.4305,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7601,20.4761,13.1396,0.3701,20.1424,12.983,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,3.4851,23.2556,12.1124,2.6618,22.2395,11.6643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0466,24.5869,9.3393,NaN,NaN,NaN,NaN,NaN,NaN,6.9148,20.2407,13.2829,3.5114,21.5573,12.6947,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,6.896614,19.276458,7.076465,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,4.51,23.9687,11.3567,3.2255,22.7502,10.6502,2.0534,21.0164,10.0965,0.9869,19.554,13.4325,0.9286,19.5454,13.6094,-1.5007,18.2005,13.0252,6.6890416,18.82679732,14.80587828,4.52907782,18.09968449,14.84245638,9.9301,26.1138,11.3419,8.4541,25.9311,12.0239,5.3128,20.7863,12.8968,5.3401,23.6282,12.8216,6.0356,25.215,11.9689,6.4898,25.2745,10.9994,7.1329,25.5402,10.4201,NaN,NaN, NaN ,1.0008,20.5743,11.6196,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN,NaN
