Le02R_X,Le02R_Y,Le02R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,         NaN,         NaN,         NaN,NaN,NaN, NaN ,NaN,NaN, NaN ,         NaN,         NaN,         NaN,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
4.223589,26.131237,13.921983,-1.078421,26.058643,13.531154,3.4473,25.1921,17.2636,1.1234,26.1342,14.6758,5.6584,25.7567,10.2615,4.915171,24.964265,6.674417,4.651651,24.085838,3.961258,2.8783,24.4693,1.2282,3.855639,25.492038,7.239641,         NaN,         NaN,         NaN,0.9691,25.0013,3.7894,1.975336,26.177068,9.286444,         NaN,         NaN,         NaN,-1.9954,25.7682,8.3686,-1.509186,23.979197,18.484848,-5.0466,23.4466,16.9025,3.099432,24.270072,18.7382,0.919361,23.690528,18.863849,2.235139,25.530509,16.20078,3.268292,26.200389,12.831713,-3.962007,24.516256,14.911797,-2.763318,25.341151,12.457447,-1.998434,25.846621,10.234877,0.159712,25.667603,6.211883,2.421998,24.917835,2.731303
4.269191,26.233128,13.952192,-1.018159,26.082694,13.481247,3.4665,25.2108,17.2829,1.1667,25.9752,14.6955,5.6779,25.7628,10.3319,5.114828,25.030033,6.70915,4.877875,23.835978,4.04391,3.1932,24.0835,1.292,4.040326,25.398445,7.301029,3.00621228,25.0312542,5.33815899,1.223,24.6779,3.7966,2.142387,25.761516,9.323939,         NaN,         NaN,         NaN,-1.8385,25.5544,8.3075,-1.441817,24.090055,18.470649,-5.0079,23.4416,16.9111,3.12646,24.386292,18.749767,0.97666,23.798028,18.887433,2.27497,25.498433,16.194605,3.357,26.209754,12.863014,-3.913719,24.379456,14.881461,-2.707349,25.347823,12.43731,-1.882373,25.712548,10.184679,0.374016,25.427344,6.19192,2.742894,24.53652,2.773388
4.333447,26.2125,13.994749,-0.951425,25.975566,13.457734,3.4946,25.2578,17.3041,1.164,25.9219,14.6961,5.9734,25.4513,10.4456,5.322295,24.800417,6.815388,5.147856,23.546784,4.184527,3.4887,23.7269,1.3738,4.22157,25.108813,7.341385,3.23404698,24.7730909,5.39649299,1.4883,24.3652,3.8316,2.295627,25.576244,9.352381,         NaN,         NaN,         NaN,-1.6663,25.3245,8.2702,-1.41601,24.129215,18.495341,-4.9678,23.4488,16.9227,3.151883,24.421715,18.767671,0.995795,23.842645,18.907833,2.31644,25.580027,16.225316,3.443656,26.133043,12.889178,-3.828527,24.375724,14.875428,-2.559276,25.065226,12.357579,-1.764007,25.550637,10.145883,0.578877,25.151031,6.186686,3.031359,24.201494,2.830351
4.392718,26.171151,14.041444,-0.867049,25.888901,13.443853,3.5213,25.2827,17.3215,1.2421,25.8695,14.6811,6.6671,25.2492,10.5789,5.526389,24.62515,6.938845,5.406523,23.264091,4.323337,3.7964,23.3723,1.4816,4.399791,24.766363,7.431981,3.46508521,24.4945601,5.46953004,1.7499,24.0504,3.8825,2.444954,25.429415,9.384923,         NaN,         NaN,         NaN,-1.5021,25.1061,8.2486,-1.389246,24.14341,18.504655,-4.9267,23.4485,16.9322,3.176097,24.473988,18.783033,1.014835,23.873426,18.921542,2.356273,25.547896,16.219123,3.5199,26.063114,12.928895,-3.821549,24.306871,14.92265,-2.500544,25.027613,12.369839,-1.63041,25.358744,10.115743,0.791669,24.889813,6.199809,3.321864,23.831441,2.91972
4.452565,26.142686,14.08954,-0.789632,25.793579,13.437694,3.545,25.3278,17.3427,1.3317,25.8231,14.7049,6.2458,25.3984,10.6704,5.723959,24.416661,7.071518,5.671562,22.962609,4.494445,4.114,22.99,1.6132,4.601438,24.614542,7.523955,3.68835458,24.2447733,5.56443181,2.0107,23.736,3.9547,2.588184,25.248231,9.426842,         NaN,         NaN,         NaN,-1.3197,24.8546,8.2321,-1.366508,24.212937,18.539787,-4.8825,23.458,16.948,3.204704,24.514431,18.788421,1.038502,23.930976,18.943177,2.379872,25.555676,16.278521,3.599683,26.003696,12.974397,-3.752186,24.189395,14.832443,-2.386395,25.028221,12.372306,-1.499383,25.181795,10.108129,0.9996,24.627931,6.238413,3.59428,23.501581,3.030101
4.516304,26.110264,14.142772,-0.707882,25.704865,13.438377,3.5684,25.3568,17.3588,1.3862,25.7858,14.7399,6.2554,25.5025,10.8609,5.926315,24.213488,7.221175,5.921787,22.711643,4.668123,4.4187,22.6503,1.7634,4.792254,24.826583,7.601231,3.91098044,24.00349476,5.67735666,2.2688,23.4286,4.0488,2.732574,25.102918,9.486023,         NaN,         NaN,         NaN,-1.1686,24.6629,8.2379,-1.344051,24.229847,18.547648,-4.8403,23.4584,16.9569,3.225701,24.548124,18.805489,1.060475,23.967466,18.955872,2.414704,25.61003333,16.312001,3.677155,25.967821,13.033125,-3.701766,24.225956,14.867391,-2.303733,24.914687,12.36576,-1.36797,24.997019,10.104598,1.209392,24.373794,6.279571,3.874746,23.192196,3.153105
4.565941,26.083796,14.199673,-0.622289,25.591394,13.447217,3.5942,25.3882,17.3812,1.3372,25.8314,14.6946,6.4016,25.2222,10.9488,6.123444,23.434764,7.44472,6.176236,22.467592,4.873821,4.7144,22.3189,1.9336,5.019085,24.153695,7.780744,4.13878537,23.74073306,5.79942368,2.5273,23.1305,4.1656,2.89234,24.959259,9.559181,         NaN,         NaN,         NaN,-0.9937,24.4433,8.2585,-1.321795,24.298724,18.568556,-4.7983,23.4656,16.9723,3.24323,24.589869,18.829635,1.08817,24.012376,18.973754,NaN,NaN, NaN ,3.750973,25.898771,13.088712,-3.679549,24.312695,14.915227,-2.21562,24.81579,12.370254,-1.238062,24.805071,10.114617,1.420557,24.114932,6.349926,4.150307,22.89748,3.300925
4.621497,26.072977,14.263328,-0.54002,25.50229,13.466904,3.6187,25.4303,17.4,1.4572,25.801,14.7764,6.5132,24.9106,11.0336,6.310974,23.284873,7.617809,6.421586,22.196194,5.075937,5.0106,21.9894,2.1251,5.201564,23.961228,7.922923,4.35545382,23.50516261,5.94473084,2.7765,22.8187,4.2966,3.024735,24.8409,9.645273,         NaN,         NaN,         NaN,-0.8182,24.2319,8.2983,-1.293405,24.327349,18.581462,-4.7521,23.4715,16.9824,3.266623,24.634093,18.842147,1.107883,24.060033,18.984975,2.484368,25.718748,16.378961,3.818517,25.845214,13.156073,-3.540259,24.109026,14.834552,-2.113906,24.700179,12.39021,-1.090896,24.628494,10.149897,1.632741,23.889465,6.432542,4.417615,22.567828,3.468088
4.67409,26.04993,14.330867,-0.450485,25.430638,13.493396,3.6448,25.4617,17.4207,1.5112,25.8248,14.7784,6.6719,25.3556,11.1133,6.492847,23.116992,7.79858,6.66498,21.964192,5.303649,5.3091,21.6656,2.3401,5.381441,23.801253,8.068558,4.58013023,23.27087227,6.09965299,3.0279,22.5479,4.4531,3.170695,24.688439,9.73516,         NaN,         NaN,         NaN,-0.6356,24.036,8.3564,-1.274535,24.372771,18.605357,-4.7051,23.4755,16.9986,3.29216,24.669601,18.854542,1.127089,24.114239,19.00686,NaN,NaN, NaN ,3.896495,25.815072,13.222064,-3.482569,24.149663,14.932818,-2.008288,24.569957,12.416704,-0.951058,24.437866,10.18422,1.839809,23.640613,6.54114,4.682383,22.276621,3.658094
