Le02R_X,Le02R_Y,Le02R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
NaN,NaN, NaN ,NaN,NaN, NaN ,-3.9152,27.319,23.151,-6.1826,28.934,20.684,-2.6831,29.382,15.42,-3.9865,29.292,12.039,-4.9199,29.676,9.1418,-6.7153,30.252,6.913,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.3583,30.006,15.355,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.2639,26.529,24.495,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
-3.237,28.977,19.476,NaN,NaN, NaN ,-3.8185,27.345,23.146,-6.0943,28.858,20.639,-2.5454,29.142,15.387,-3.8488,28.852,11.911,-4.7087,29.071,9.1403,-6.5393,29.615,6.8203,-4.829012,29.290264,12.697289,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.2777,29.781,15.271,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.1744,26.569,24.491,NaN,NaN, NaN ,-4.99,28.145,21.983,-4.3905,29.257,18.502,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
-3.1328,28.89,19.456,NaN,NaN, NaN ,-3.7236,27.343,23.138,-6.0035,28.785,20.601,-2.4046,28.885,15.382,-3.6572,28.34,11.883,-4.5854,28.822,9.0884,-6.3313,28.944,6.7544,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.1011,29.461,15.187,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.0854,26.608,24.486,NaN,NaN, NaN ,-4.8945,28.14,21.97,-4.2895,29.129,18.474,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.5075,29.331,8.3349
-3.0251,28.799,19.442,NaN,NaN, NaN ,-3.6424,27.379,23.135,-5.915,28.711,20.568,-2.2714,28.665,15.384,-3.5288,28.101,11.827,-4.2354,27.782,9.1759,-6.0802,28.224,6.7275,-4.507601,28.597097,12.610267,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.9531,29.148,15.118,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.9954,26.645,24.48,NaN,NaN, NaN ,-4.7982,28.131,21.965,-4.1732,28.986,18.438,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.292,28.79,8.28
-2.9184,28.728,19.436,NaN,NaN, NaN ,-3.5585,27.397,23.142,-5.8198,28.638,20.545,-2.1248,28.385,15.412,-3.3605,27.902,11.914,-4.0136,27.228,9.2089,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.7891,28.876,15.068,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.9037,26.686,24.474,NaN,NaN, NaN ,-4.7028,28.116,21.959,-4.0675,28.852,18.429,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.06,28.234,8.2488
-2.8119,28.638,19.438,NaN,NaN, NaN ,-3.4682,27.458,23.144,-5.7233,28.566,20.524,-1.9735,28.143,15.452,-3.1447,27.326,11.899,-3.732691,26.406539,9.256061,-5.7951,27.577,6.6795,-4.137802,27.984758,12.660637,-5.36663,27.834924,10.823648,-7.1708,27.889,9.4346,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.8104,26.725,24.468,NaN,NaN, NaN ,-4.6076,28.111,21.962,-3.9472,28.71,18.413,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.8169,27.703,8.2344
-2.7068,28.57,19.451,NaN,NaN, NaN ,-3.3864,27.484,23.134,-5.6241,28.496,20.515,-1.8212,27.908,15.508,-2.931597,26.904695,12.007501,NaN,NaN, NaN ,-5.324738,26.297648,6.800711,NaN,NaN, NaN ,NaN,NaN, NaN ,-6.9343,27.393,9.4225,-5.5014,28.316,15.018,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.7168,26.766,24.463,NaN,NaN, NaN ,-4.5158,28.107,21.965,-3.8396,28.587,18.426,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.5637,27.147,8.2655
-2.6006,28.494,19.47,NaN,NaN, NaN ,-3.2876,27.532,23.159,-5.5215,28.433,20.511,-1.6621,27.678,15.577,NaN,NaN, NaN ,-3.252002,25.397953,9.483748,NaN,NaN, NaN ,-3.742829,27.218026,12.742773,-4.928115,26.896993,10.81444,-6.6735,26.887,9.4398,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.6279,26.81,24.458,-5.8247,26.525,24.701,-4.4177,28.107,21.974,-3.7184,28.449,18.438,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-7.379845,27.847156,11.85717,-5.2912,26.608,8.3179
-2.4938,28.427,19.496,NaN,NaN, NaN ,-3.2034,27.54,23.153,-5.4321,28.379,20.506,-1.5042,27.469,15.667,-2.515559,26.131664,12.179843,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.2902,27.126,13.158,NaN,NaN, NaN ,-6.4234,26.424,9.4888,-5.279102,27.504264,14.969587,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.5417,26.85,24.454,-5.7381,26.562,24.697,-4.3251,28.105,21.982,-3.5969,28.328,18.461,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.023,26.078,8.399
