Le02R_X,Le02R_Y,Le02R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1085,30.704,22.468,0.16073,33.06,22.508,1.8675,36.697,17.767,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4721,41.029,14.217,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-1.5187,36.945,19.38,-3.3699,37.063,20.004,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1493,30.635,22.417,0.20598,32.994,22.43,1.8331,36.543,17.57,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4587,40.883,13.928,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3866,39.357,16.449,-1.539,36.831,19.215,-3.3843,36.969,19.857,-5.3652,36.828,20.643,NaN,NaN, NaN ,-5.3729,29.81,25.472,3.2632,29.401,23.845,1.1041,28.745,24.364,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.833242,31.727483,24.260677,-4.474543,33.933902,23.017415,-4.625912,35.557915,21.577611,-4.64062,38.441574,18.408719,-4.899541,40.267675,15.117027
2.4497,33.736,20.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1291,33.764,22.579,-0.27299,35.299,20.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1981,30.593,22.395,0.24981,32.923,22.345,1.8054,36.357,17.379,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4417,40.722,13.619,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4092,39.168,16.191,-1.5517,36.703,19.049,-3.3951,36.865,19.707,-5.3682,36.74,20.508,-1.3331,29.022,24.67,-5.3327,29.72,25.405,3.3095,29.353,23.813,1.1542,28.699,24.329,NaN,NaN,NaN,NaN,NaN, NaN ,1.2132,34.641,20.355,-4.789458,31.816885,24.148163,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.4757,33.63,20.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1004,33.697,22.466,-0.25257,35.226,20.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2235,30.56,22.388,0.27991,32.88,22.278,1.7649,36.243,17.23,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4213,40.509,13.294,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4301,38.97,15.926,-1.5604,36.56,18.879,-3.4027,36.733,19.543,-5.3679,36.62,20.359,-1.2814,28.962,24.633,-5.2926,29.631,25.332,3.3523,29.309,23.777,1.2049,28.654,24.297,NaN,NaN,NaN,NaN,NaN, NaN ,1.2287,34.53,20.22,NaN,NaN, NaN ,-4.418602,33.573901,22.599126,-4.589712,35.401876,21.307516,-4.711389,38.05855,17.933177,-4.929801,39.724076,14.481602
2.507,33.524,20.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0653,33.597,22.331,-0.22665,35.141,20.491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2759,30.476,22.346,0.32096,32.8,22.185,1.7534,36.06,17.052,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4041,40.248,12.958,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4442,38.739,15.65,-1.5642,36.409,18.705,-3.4062,36.583,19.369,-5.3657,36.485,20.198,-1.2297,28.903,24.592,-5.2531,29.546,25.255,3.3977,29.259,23.745,1.2544,28.609,24.261,NaN,NaN,NaN,NaN,NaN, NaN ,1.2478,34.418,20.085,-4.732645,31.499044,23.83784,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.5461,33.421,19.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0258,33.512,22.221,-0.19134,35.046,20.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3251,30.437,22.316,0.35954,32.725,22.092,1.7529,35.84,16.876,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3947,39.948,12.618,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4487,38.491,15.372,-1.5614,36.236,18.52,-3.4049,36.421,19.185,-5.3583,36.329,20.022,-1.1792,28.855,24.558,-5.2144,29.462,25.176,3.4459,29.224,23.715,1.3029,28.564,24.227,NaN,NaN,NaN,1.7994,31.519,22.374,1.2693,34.298,19.951,NaN,NaN, NaN ,-4.264963,33.211492,22.242017,-4.501647,35.089978,21.000332,-4.689953,37.714163,17.462159,-4.944408,39.115569,13.870557
2.5874,33.318,19.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9887,33.421,22.107,-0.15788,34.947,20.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3665,30.373,22.275,0.39983,32.641,21.993,1.7598,35.685,16.691,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3944,39.574,12.264,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4481,38.224,15.089,-1.5536,36.063,18.336,-3.3973,36.246,18.992,-5.3461,36.154,19.831,-1.1324,28.804,24.518,-5.1746,29.382,25.094,3.4902,29.181,23.685,1.351,28.52,24.194,2.4616,34.813,14.783,1.8476,31.461,22.316,1.295,34.173,19.815,-4.674862,31.210831,23.633643,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.6302,33.206,19.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.93941,33.351,22.003,-0.12719,34.836,20.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4132,30.304,22.237,0.43551,32.551,21.885,1.781,35.503,16.523,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3985,39.16,11.919,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4404,37.92,14.795,-1.5371,35.878,18.144,-3.3875,36.066,18.796,-5.3309,35.97,19.633,-1.0852,28.758,24.48,-5.1341,29.3,25.01,3.5369,29.139,23.654,1.3987,28.48,24.161,2.5309,34.563,14.639,1.8922,31.39,22.254,1.3247,34.045,19.678,NaN,NaN, NaN ,-4.169768,33.073194,21.973583,-4.465652,34.934127,20.731411,-4.714733,37.249195,17.004338,-4.958638,38.50942,13.263347
2.6767,33.09,19.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.90134,33.29,21.907,-0.095675,34.714,19.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4557,30.287,22.224,0.46898,32.46,21.765,1.8104,35.312,16.354,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4031,38.716,11.595,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4209,37.597,14.506,-1.5144,35.686,17.949,-3.3686,35.866,18.584,-5.3139,35.761,19.419,-1.0396,28.715,24.443,-5.0912,29.218,24.923,3.5819,29.102,23.626,1.445,28.443,24.132,2.5805,34.316,14.498,1.9299,31.291,22.176,1.3577,33.917,19.543,-4.54981,31.133136,23.476477,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.7235,32.971,19.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.85621,33.218,21.793,-0.064543,34.574,19.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4983,30.215,22.173,0.50712,32.375,21.649,1.8495,35.103,16.188,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4007,38.24,11.284,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.391,37.251,14.222,-1.5137,35.57,17.786,-3.343,35.668,18.365,-5.2888,35.551,19.192,-0.99019,28.672,24.409,-5.0515,29.136,24.834,3.625,29.064,23.596,1.4915,28.4,24.098,2.6429,34.066,14.367,1.9579,31.142,22.072,1.3955,33.782,19.409,NaN,NaN, NaN ,-4.125777,33.087591,21.743212,-4.362253,34.71692,20.412302,-4.679054,36.673215,16.421909,-4.898174,37.768547,12.662661
2.7721,32.848,19.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.81528,33.177,21.702,-0.030248,34.437,19.615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5527,30.133,22.129,0.55158,32.294,21.551,1.9023,34.897,16.029,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3785,37.748,10.99,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3426,36.881,13.94,-1.4745,35.37,17.585,-3.3125,35.459,18.136,-5.2614,35.347,18.953,-0.9416,28.633,24.37,-5.0102,29.055,24.739,3.6715,29.029,23.566,1.5368,28.363,24.069,2.7162,33.812,14.242,2.0012,31.075,22.007,1.4389,33.647,19.275,-4.46226,31.069875,23.259429,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.8253,32.723,19.345,0.67148,31.989,22.65,-1.5169,31.344,23.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.77809,33.107,21.583,0.0044711,34.279,19.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6014,30.097,22.103,0.59902,32.209,21.463,1.9641,34.689,15.874,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3365,37.253,10.709,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.2842,36.514,13.665,-1.4278,35.168,17.38,-3.2762,35.251,17.908,-5.2255,35.12,18.7,-0.89662,28.584,24.334,-4.9689,28.978,24.644,3.7129,28.989,23.535,1.5823,28.324,24.037,2.8029,33.554,14.12,2.0443,30.997,21.93,1.4869,33.508,19.143,NaN,NaN, NaN ,-4.046034,32.928332,21.604181,-4.321529,34.253353,20.0111,NaN,NaN, NaN ,NaN,NaN, NaN 
2.884,32.6,19.249,0.71398,31.97,22.577,-1.4883,31.29,23.096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.74635,33.021,21.452,0.039043,34.122,19.278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6319,30.057,22.075,0.64571,32.116,21.371,2.0417,34.468,15.71,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.2718,36.751,10.431,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.2054,36.138,13.393,-1.3713,34.956,17.174,-3.2295,35.026,17.672,-5.1815,34.887,18.448,-0.85232,28.539,24.296,-4.9271,28.898,24.547,3.7595,28.958,23.505,1.6275,28.288,24.009,2.9015,33.29,14.003,2.0872,30.931,21.86,1.5401,33.364,19.012,-4.383711,30.846712,23.005539,-3.979263,32.868386,21.553633,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.947,32.48,19.156,0.73906,31.868,22.467,-1.4605,31.247,23.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.71434,32.938,21.317,0.07932,33.964,19.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6836,29.973,22.032,0.69109,32.023,21.271,2.1287,34.261,15.558,-0.48224,35.032,13.017,NaN,NaN, NaN ,-5.1809,36.261,10.158,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.1107,35.765,13.121,-1.3095,34.735,16.97,-3.1746,34.797,17.44,-5.1244,34.645,18.193,-0.80848,28.504,24.258,-4.8818,28.816,24.447,3.8006,28.919,23.473,1.6721,28.251,23.978,3.0151,33.051,13.897,2.1289,30.873,21.794,1.5993,33.23,18.885,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.242098,33.981053,19.650781,NaN,NaN, NaN ,NaN,NaN, NaN 
3.0153,32.359,19.067,0.76523,31.692,22.306,-1.432,31.203,22.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.67928,32.828,21.171,0.13012,33.803,18.943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7181,29.936,22.003,0.73858,31.934,21.169,2.2171,34.03,15.409,-0.36402,34.718,12.816,NaN,NaN, NaN ,-5.0664,35.787,9.8817,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.9989,35.377,12.842,-1.2381,34.515,16.767,-3.1079,34.565,17.209,-5.0548,34.402,17.942,-0.76629,28.487,24.229,-4.833,28.733,24.345,3.8432,28.884,23.442,1.7166,28.216,23.951,3.1352,32.789,13.791,2.175,30.8,21.727,1.6633,33.087,18.757,NaN,NaN, NaN ,-3.921012,32.774519,21.331031,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.497219,35.667539,11.216181
3.0871,32.243,18.982,0.79673,31.634,22.211,-1.4092,31.15,22.851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.64469,32.708,21.021,0.18788,33.641,18.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7737,29.875,21.97,0.78721,31.843,21.065,2.3157,33.809,15.268,-0.23567,34.403,12.618,NaN,NaN, NaN ,-4.9219,35.315,9.5986,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.8679,34.991,12.564,-1.1583,34.289,16.567,-3.0363,34.32,16.979,-4.984,34.17,17.69,-0.72118,28.449,24.196,-4.7843,28.663,24.251,3.8845,28.858,23.415,1.7584,28.184,23.922,3.2625,32.523,13.693,2.2225,30.736,21.669,1.7321,32.94,18.631,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.191529,33.883371,19.264562,-4.311891,34.834877,14.822775,NaN,NaN, NaN 
3.1618,32.122,18.896,0.83354,31.566,22.11,-1.3748,31.11,22.761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.60217,32.591,20.871,0.25415,33.476,18.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8157,29.841,21.939,0.83954,31.756,20.962,2.4182,33.582,15.133,-0.091593,34.065,12.428,NaN,NaN, NaN ,-4.7494,34.855,9.3136,-0.58025,34.522,13.606,NaN,NaN, NaN ,-4.7251,34.606,12.286,-1.0688,34.065,16.371,-2.9572,34.083,16.752,-4.911,33.931,17.437,-0.6832,28.414,24.162,-4.7362,28.595,24.16,3.926,28.823,23.384,1.7993,28.156,23.895,3.407,32.243,13.593,2.2713,30.675,21.617,1.8048,32.792,18.508,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
3.2408,31.996,18.813,0.86715,31.482,22.002,-1.341,31.062,22.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5559,32.483,20.729,0.32736,33.316,18.457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8546,29.793,21.913,0.89263,31.666,20.859,2.5352,33.343,14.995,0.061418,33.741,12.239,NaN,NaN, NaN ,-4.556,34.414,9.0305,-0.4453,34.215,13.404,NaN,NaN, NaN ,-4.5719,34.244,12.006,-0.97533,33.836,16.175,-2.8691,33.849,16.529,-4.8243,33.707,17.184,-0.64159,28.402,24.132,-4.6856,28.533,24.075,3.959,28.787,23.354,1.8398,28.124,23.867,3.5535,31.984,13.515,2.3219,30.609,21.567,1.8817,32.641,18.388,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.068831,33.454168,18.803988,NaN,NaN, NaN ,NaN,NaN, NaN 
3.3213,31.87,18.731,0.90745,31.406,21.896,-1.2942,31.008,22.589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.50076,32.366,20.581,0.40433,33.164,18.302,NaN,NaN,NaN,NaN,NaN,NaN,-0.76236,33.978,14.491,NaN,NaN,NaN,3.8923,29.767,21.889,0.94962,31.578,20.757,2.6575,33.097,14.862,0.22799,33.409,12.056,NaN,NaN, NaN ,-4.3423,33.992,8.7451,-0.30487,33.917,13.204,NaN,NaN, NaN ,-4.4023,33.871,11.723,-0.87298,33.606,15.984,-2.7699,33.609,16.302,-4.734,33.475,16.932,-0.60459,28.375,24.101,-4.6324,28.476,23.998,4.0017,28.757,23.325,1.8783,28.1,23.841,3.7006,31.716,13.442,2.3733,30.547,21.517,1.9631,32.49,18.27,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
3.4028,31.737,18.651,0.9541,31.325,21.783,-1.2488,30.935,22.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.43948,32.25,20.432,0.48732,33.007,18.154,-0.97343,33.222,17.965,NaN,NaN,NaN,-0.63393,33.696,14.292,NaN,NaN,NaN,3.9306,29.706,21.849,1.0074,31.486,20.654,2.781,32.852,14.747,0.40645,33.076,11.882,NaN,NaN, NaN ,-4.1019,33.574,8.4652,-0.14967,33.612,13.01,NaN,NaN, NaN ,-4.2182,33.509,11.435,-0.76176,33.374,15.791,-2.6651,33.368,16.077,-4.632,33.24,16.677,-0.5695,28.365,24.075,-4.5794,28.418,23.926,4.0369,28.727,23.295,1.9171,28.073,23.813,3.8645,31.425,13.372,2.4235,30.491,21.467,2.0488,32.336,18.154,NaN,NaN, NaN ,-3.781128,32.28362,20.490832,-3.910178,32.941042,18.292245,NaN,NaN, NaN ,-3.605371,33.696063,9.882038
3.4875,31.603,18.574,0.99685,31.26,21.673,-1.2099,30.879,22.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3749,32.134,20.286,0.57362,32.847,17.998,-0.88706,33.03,17.776,NaN,NaN,NaN,-0.49299,33.409,14.091,NaN,NaN,NaN,3.9766,29.679,21.829,1.0674,31.4,20.551,2.9171,32.617,14.625,0.59005,32.751,11.71,NaN,NaN, NaN ,-3.8521,33.177,8.1884,0.01791,33.303,12.819,NaN,NaN, NaN ,-4.0238,33.142,11.162,-0.64766,33.14,15.602,-2.553,33.13,15.851,-4.5086,33.002,16.419,-0.52913,28.339,24.046,-4.5263,28.365,23.862,4.0734,28.695,23.263,1.953,28.048,23.788,4.0319,31.167,13.316,2.4764,30.434,21.418,2.1378,32.179,18.042,-4.152717,30.433537,22.371424,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.660373,33.427194,13.570291,NaN,NaN, NaN 
3.5738,31.469,18.501,1.0449,31.211,21.579,-1.1724,30.82,22.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.31181,32.028,20.144,0.66652,32.679,17.841,-0.79815,32.838,17.588,NaN,NaN,NaN,-0.34305,33.142,13.901,NaN,NaN,NaN,4.0255,29.608,21.79,1.1297,31.305,20.448,3.0595,32.376,14.518,0.78795,32.422,11.552,NaN,NaN, NaN ,-3.5768,32.779,7.9195,0.19587,32.983,12.634,NaN,NaN, NaN ,-3.8168,32.789,10.885,-0.52367,32.901,15.414,-2.4322,32.891,15.627,-4.3921,32.764,16.158,-0.49328,28.321,24.021,-4.4727,28.316,23.803,4.112,28.67,23.235,1.9902,28.028,23.762,4.2058,30.861,13.261,2.5295,30.371,21.364,2.2305,32.021,17.932,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.743303,32.631209,17.82555,NaN,NaN, NaN ,NaN,NaN, NaN 
3.6631,31.332,18.429,1.0909,31.17,21.499,-1.1328,30.755,22.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2481,31.915,20.001,0.75688,32.504,17.69,-0.70481,32.65,17.401,NaN,NaN,NaN,-0.18469,32.867,13.711,NaN,NaN,NaN,4.063,29.571,21.759,1.193,31.212,20.346,3.2062,32.129,14.415,0.99779,32.08,11.402,NaN,NaN, NaN ,-3.2871,32.387,7.6575,0.38119,32.683,12.458,NaN,NaN, NaN ,-3.5893,32.437,10.623,-0.39039,32.658,15.226,-2.3074,32.649,15.402,-4.2751,32.526,15.907,-0.45809,28.295,23.993,-4.4191,28.262,23.746,4.1477,28.644,23.204,2.0241,28.011,23.737,4.3796,30.589,13.225,2.583,30.311,21.308,2.3279,31.859,17.826,-4.033141,30.032514,21.912595,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
3.7566,31.193,18.362,1.139,31.106,21.412,-1.0899,30.684,22.059,NaN,NaN,NaN,NaN,NaN,NaN,-1.4102,31.703,19.973,-0.18486,31.803,19.857,0.85249,32.319,17.538,-0.60512,32.465,17.218,NaN,NaN,NaN,-0.014484,32.587,13.526,NaN,NaN,NaN,4.097,29.555,21.735,1.2582,31.117,20.245,3.3548,31.88,14.328,1.2118,31.744,11.26,NaN,NaN, NaN ,-2.9794,32.002,7.3983,0.58267,32.363,12.29,NaN,NaN, NaN ,-3.3567,32.09,10.375,-0.24694,32.41,15.043,-2.1724,32.4,15.177,-4.1544,32.264,15.648,-0.422,28.294,23.967,-4.3652,28.216,23.69,4.1854,28.616,23.173,2.0598,27.995,23.71,4.5624,30.301,13.191,2.6376,30.249,21.251,2.4296,31.706,17.725,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.556727,32.146765,17.322873,NaN,NaN, NaN ,NaN,NaN, NaN 
3.851,31.057,18.299,1.1858,31.046,21.321,-1.0479,30.624,21.95,NaN,NaN,NaN,NaN,NaN,NaN,-1.3554,31.567,19.801,-0.1229,31.683,19.71,0.95142,32.133,17.39,-0.50413,32.275,17.035,NaN,NaN,NaN,0.16191,32.311,13.353,NaN,NaN,NaN,4.1419,29.495,21.701,1.3264,31.024,20.144,3.517,31.626,14.239,1.4361,31.406,11.13,NaN,NaN, NaN ,-2.6586,31.627,7.1521,0.80676,32.023,12.133,NaN,NaN, NaN ,-3.104,31.731,10.128,-0.1007,32.167,14.867,-2.0319,32.159,14.959,-4.0255,32.005,15.387,-0.38371,28.283,23.943,-4.3118,28.166,23.634,4.2198,28.593,23.141,2.0931,27.979,23.685,4.7483,30.018,13.174,2.6917,30.196,21.195,2.5354,31.543,17.625,NaN,NaN, NaN ,-3.398123,31.125495,19.266177,NaN,NaN, NaN ,NaN,NaN, NaN ,-2.350329,31.756427,8.615084
3.9491,30.922,18.24,1.2304,30.976,21.225,-1.0029,30.564,21.846,NaN,NaN,NaN,NaN,NaN,NaN,-1.2933,31.43,19.634,-0.057822,31.556,19.565,1.0499,31.958,17.251,-0.39986,32.085,16.859,NaN,NaN,NaN,0.34666,32.021,13.179,NaN,NaN,NaN,4.1868,29.453,21.67,1.3967,30.933,20.047,3.6818,31.371,14.163,1.6779,31.071,11.015,NaN,NaN, NaN ,-2.3174,31.249,6.9184,1.0211,31.701,11.985,-0.68479,31.677,10.583,-2.8556,31.372,9.8906,0.050548,31.914,14.694,-1.8835,31.913,14.746,-3.8829,31.753,15.132,-0.35416,28.277,23.92,-4.2593,28.117,23.579,4.2538,28.565,23.108,2.1251,27.968,23.658,4.9391,29.724,13.165,2.7472,30.14,21.138,2.6434,31.381,17.531,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-2.740181,31.669738,12.316116,NaN,NaN, NaN 
4.0477,30.79,18.186,1.279,30.914,21.132,-0.95771,30.511,21.745,NaN,NaN,NaN,NaN,NaN,NaN,-1.2264,31.28,19.467,0.013963,31.421,19.423,1.1593,31.761,17.11,-0.28974,31.881,16.684,NaN,NaN,NaN,0.53945,31.721,13.019,NaN,NaN,NaN,4.2258,29.429,21.645,1.4667,30.835,19.948,3.8485,31.109,14.093,1.9141,30.734,10.904,NaN,NaN, NaN ,-1.9648,30.85,6.6956,1.2467,31.369,11.842,-0.43593,31.34,10.403,-2.5939,31.025,9.6647,0.20943,31.667,14.531,-1.7276,31.663,14.538,-3.7472,31.506,14.89,-0.31977,28.275,23.9,-4.1999,28.069,23.523,4.2925,28.551,23.079,2.1568,27.957,23.633,5.1322,29.447,13.167,2.8038,30.081,21.081,2.7536,31.22,17.442,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
