Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
5.6747,29.0418,16.712,6.5568,29.1883,16.1485,6.2863,28.782,17.3135,3.7203,28.5138,17.6467,1.3216,27.9614,17.5773,-0.0521,27.4105,17.1683,0.973,29.0045,15.0228,1.9116,29.0056,15.4503,3.076,29.1564,15.7912,4.9345,29.9024,14.0989,3.8121,30.0411,13.274,2.4515,30.1288,12.8079,7.4909,30.0172,8.7954,6.7177,30.1134,6.6122,7.429,29.8374,6.0892,6.4156,26.8449,19.0882,4.2307,28.5945,16.5362,8.7281,29.8037,12.2597,8.0758,29.6773,8.4873,7.9488,29.4232,5.6591,6.1898,30.5212,3.0931,4.2411,30.4798,5.628,4.9911,29.9579,11.3444,1.1352,30.2534,10.3597,0.224,26.5365,18.8014,-2.6794,25.3766,17.765,6.0027,25.858,20.22,3.8981,25.2888,19.9807
5.7664,29.0302,16.6882,6.6674,29.1529,16.1419,6.3719,28.7806,17.3067,3.8052,28.5422,17.6245,1.4044,27.9821,17.53,0.0339,27.4281,17.1211,1.103,28.9357,14.9166,2.0277,28.9603,15.3716,3.1869,29.1123,15.7238,5.0834,29.7568,14.0324,3.9851,29.8614,13.1682,2.6391,29.958,12.671,7.7674,29.7006,8.7821,7.0533,29.7365,6.5751,7.7731,29.415,6.0735,6.4885,26.8969,19.1096,4.3215,28.5504,16.5058,8.8918,29.5054,12.3016,8.366,29.5699,8.4572,8.3029,28.9417,5.6703,6.6065,30.001,3.0326,4.6036,30.1069,5.5244,5.2181,29.7575,11.2784,1.3795,30.0319,10.178,0.2854,26.6104,18.8214,-2.5665,25.3888,17.749,6.0435,25.8582,20.2387,3.9595,25.309,19.9926
5.8658,29.0215,16.6736,6.7703,29.1092,16.1401,6.4578,28.7895,17.3028,3.8866,28.5719,17.5945,1.5003,28.0045,17.4892,0.1209,27.4445,17.0797,1.2388,28.8358,14.8084,2.1465,28.9109,15.2942,3.3029,29.0591,15.6635,5.2374,29.6076,13.9745,4.1562,29.6885,13.0767,2.8213,29.7911,12.5492,8.0498,29.389,8.7928,7.3871,29.3723,6.565,8.1129,29.019,6.0965,6.5365,26.9622,19.1248,4.4072,28.5557,16.4867,9.0832,29.3212,12.3461,8.6636,28.9184,8.5375,8.6207,28.4972,5.6914,7.0384,29.468,2.9992,4.9751,29.7107,5.4333,5.4562,29.5508,11.2169,1.6331,29.8096,10.0179,0.3454,26.6798,18.8373,-2.4482,25.4107,17.741,6.136,26.0796,20.288,4.0227,25.4421,19.9865
5.9617,29.0136,16.6614,6.8737,29.0704,16.1425,6.5394,28.7962,17.3033,3.9656,28.5922,17.5749,1.599,28.0208,17.4554,0.2145,27.4613,17.0513,1.3737,28.7372,14.716,2.2694,28.859,15.23,3.4228,29.0073,15.6131,5.39,29.4719,13.9299,4.3291,29.5174,13.0058,3.0038,29.603,12.4405,8.3195,29.098,8.8156,7.7222,28.983,6.5749,8.4457,28.6219,6.1329,6.5992,27.0197,19.1469,4.5044,28.5413,16.4702,9.2884,29.2421,12.3933,8.9894,28.6174,8.5872,8.9734,28.1528,5.7564,7.4558,28.9558,2.9991,5.3385,29.3317,5.3813,5.5825,29.2248,11.1147,1.8824,29.5887,9.8693,0.4095,26.7526,18.8582,-2.3518,25.4697,17.7316,6.1677,26.0869,20.3002,4.0491,25.4071,19.9851
6.053,28.9971,16.6574,6.9829,29.0289,16.1518,6.6295,28.7998,17.3079,4.0462,28.6344,17.5626,1.693,28.039,17.4309,0.3073,27.4731,17.0232,1.5185,28.6207,14.6401,2.4035,28.7889,15.1732,3.5458,28.9523,15.5696,5.5383,29.3474,13.9023,4.5045,29.3647,12.9505,3.1923,29.3974,12.345,8.6019,28.7891,8.8627,8.052,28.6049,6.6079,8.7867,28.2183,6.2045,6.6566,27.0783,19.1672,4.6017,28.5372,16.4574,9.4764,29.044,12.462,9.2248,28.3868,8.6422,9.3597,27.6556,5.9479,7.9586,28.3286,3.0051,5.7186,28.9128,5.3443,5.8565,29.0745,11.1302,2.1231,29.3452,9.7419,0.4693,26.8371,18.8731,-2.2675,25.5032,17.7345,6.2314,26.1034,20.3142,4.1507,25.5707,20.0169
6.1504,28.9859,16.6514,7.0888,28.9917,16.1671,6.7092,28.8128,17.3213,4.1269,28.6733,17.555,1.7786,28.0616,17.4038,0.4054,27.4736,16.9979,1.665,28.5073,14.5782,2.5371,28.701,15.1238,3.6668,28.9009,15.5374,5.6909,29.2327,13.8878,4.6818,29.2076,12.9083,3.3822,29.2065,12.2771,8.8625,28.5018,8.9281,8.3741,28.24,6.6674,9.1097,27.8259,6.2924,6.7157,27.1284,19.1925,4.7043,28.5397,16.4789,9.5773,28.615,12.578,9.4641,28.1816,8.7409,9.6714,27.3759,6.0433,8.3234,27.931,3.0926,6.0441,28.5088,5.3328,6.0815,29.0258,11.1273,2.3823,29.1089,9.6395,0.5296,26.9066,18.8927,-2.1907,25.5062,17.7305,6.2974,26.2122,20.3124,4.2035,25.5925,20.0297
6.2511,28.9651,16.6566,7.1929,28.9503,16.19,6.7923,28.8115,17.3354,4.2141,28.7143,17.548,1.873,28.0669,17.384,0.5092,27.4611,16.9767,1.8144,28.3844,14.526,2.6779,28.5869,15.0771,3.7924,28.849,15.5154,5.8444,29.1146,13.885,4.8553,29.0558,12.8867,3.5699,29.0139,12.2234,9.1246,28.1962,9.0194,8.6926,27.8478,6.7521,9.4377,27.3962,6.4143,6.779,27.1983,19.2196,4.7944,28.5131,16.4734,9.8,28.5371,12.6684,9.7376,27.7758,8.8725,10.015,26.9332,6.1651,8.7849,27.255,3.2038,6.3961,28.1792,5.3404,6.2557,28.709,11.1252,2.6214,28.8511,9.5615,0.5952,26.9974,18.9091,-2.0732,25.5772,17.7525,6.3517,26.2292,20.3311,4.2301,25.7966,20.0752
6.3455,28.9596,16.6696,7.2932,28.9124,16.2207,6.8807,28.8192,17.3529,4.3005,28.7524,17.5437,1.9592,28.1018,17.3723,0.6205,27.4351,16.9579,1.9663,28.2717,14.4899,2.8235,28.4918,15.0494,3.9154,28.7906,15.4996,6.0023,29.0073,13.8968,5.0322,28.9173,12.8828,3.7573,28.8405,12.1969,9.3806,27.8976,9.1276,8.9994,27.4763,6.8678,9.7357,27.0239,6.5536,6.8275,27.2632,19.2371,4.8824,28.5026,16.4534,10.004,28.4894,12.778,9.9959,27.7187,8.9969,10.2881,26.5488,6.3022,9.1492,26.9742,3.3316,6.7876,27.669,5.4058,6.5263,28.5214,11.1753,2.8676,28.6029,9.5122,0.6504,27.087,18.9305,-2.0029,25.6854,17.8046,6.3984,26.2857,20.3588,4.3039,25.7148,20.0563
6.4375,28.9442,16.6882,7.3924,28.8843,16.2553,6.9634,28.8279,17.3766,4.3886,28.7869,17.5397,2.0455,28.1284,17.3611,0.7321,27.4046,16.9501,2.1169,28.1408,14.4673,2.956,28.3937,15.0378,4.0385,28.7343,15.4912,6.151,28.9171,13.9263,5.2062,28.7798,12.8933,3.9491,28.6659,12.1853,9.6274,27.6268,9.2622,9.2886,27.111,7.0089,10.0299,26.6378,6.728,6.9045,27.3624,19.2871,4.9833,28.5171,16.496,10.159,28.2997,12.9128,10.2204,27.2397,9.1897,10.6795,26.2669,6.5593,9.4601,26.3706,3.4734,7.0945,27.3133,5.4815,6.7421,28.3632,11.2439,3.111,28.3452,9.487,0.7031,27.2766,18.9409,-1.9432,25.7168,17.8265,6.4616,26.4139,20.3955,4.3638,25.7957,20.1036
6.5301,28.931,16.7093,7.4925,28.8466,16.2984,7.0495,28.8404,17.4084,4.4729,28.806,17.5393,2.1351,28.1452,17.352,0.8396,27.3989,16.949,2.2727,28.0269,14.4635,3.0984,28.3091,15.0373,4.159,28.6939,15.4981,6.3048,28.8331,13.9649,5.3751,28.6518,12.9154,4.1324,28.5005,12.1949,9.8654,27.3444,9.4179,9.571,26.7577,7.1719,10.3207,26.2437,6.9238,6.9637,27.416,19.3117,5.074,28.5002,16.4871,10.3064,28.1153,13.0585,10.4594,27.038,9.3372,10.9096,25.7983,6.8027,9.7686,25.9692,3.6455,7.3836,26.9486,5.5934,6.9126,28.0386,11.2655,3.3823,28.0485,9.5032,0.7782,27.2439,18.9679,-1.8324,25.7273,17.8281,6.5134,26.4271,20.4012,4.4135,25.9641,20.1546
6.6244,28.9274,16.7396,7.5886,28.8258,16.3525,7.129,28.8544,17.4396,4.5557,28.8245,17.5498,2.2282,28.1522,17.3538,0.9464,27.3871,16.9557,2.4206,27.9281,14.4764,3.2296,28.2405,15.0502,4.2794,28.6531,15.5182,6.4505,28.7563,14.0171,5.545,28.5192,12.9621,4.3161,28.3259,12.2207,10.0915,27.084,9.5947,9.8359,26.4045,7.3624,10.5884,25.9022,7.149,7.0274,27.4838,19.346,5.161,28.4525,16.4844,10.5708,27.843,13.1378,10.705,26.5668,9.5956,11.1538,25.4095,7.0074,10.0925,25.5784,3.8739,7.713,26.4653,5.7647,7.1081,27.8636,11.3493,3.634,27.771,9.5378,0.8469,27.3096,18.9857,-1.7478,25.7124,17.8371,6.5635,26.5086,20.4402,4.4882,25.9515,20.1518
6.7097,28.9392,16.7756,7.6788,28.8042,16.4141,7.2113,28.8725,17.479,4.6401,28.8222,17.5615,2.3245,28.1507,17.3601,1.0467,27.3777,16.9698,2.5617,27.8377,14.502,3.3584,28.1705,15.0764,4.398,28.6122,15.5406,6.5967,28.6671,14.0806,5.7078,28.3963,13.0224,4.4988,28.1725,12.2695,10.3115,26.7883,9.7981,10.0919,26.0541,7.5805,10.8439,25.5641,7.3887,7.0998,27.5265,19.3686,5.2408,28.572,16.5859,10.6784,27.6454,13.299,10.9438,26.5246,9.8027,11.3602,24.9429,7.2312,10.4181,25.0623,4.1374,8.0037,26.0664,5.9519,7.3013,27.6922,11.4679,3.8471,27.5374,9.5815,0.9068,27.4622,18.9951,-1.6774,25.7185,17.8342,6.677,26.5794,20.4461,4.5399,26.0156,20.1681
6.7957,28.9487,16.8193,7.7673,28.7871,16.4785,7.2875,28.8972,17.5249,4.7231,28.8177,17.5753,2.4234,28.1477,17.3749,1.1394,27.374,16.9874,2.7057,27.7516,14.5377,3.4803,28.1184,15.1125,4.5114,28.5797,15.5734,6.735,28.5873,14.1647,5.8691,28.2708,13.0985,4.6714,28.0276,12.3341,10.5045,26.5574,10.0175,10.3336,25.7181,7.8251,11.0929,25.2031,7.6641,7.1613,27.5991,19.4001,5.3336,28.642,16.6417,10.8398,27.6948,13.5299,11.1556,26.0532,9.9818,11.7023,24.6042,7.5228,10.7186,24.6618,4.4273,8.3063,25.6425,6.2009,7.4971,27.5001,11.5902,4.0514,27.3206,9.6526,0.9796,27.5196,19.0122,-1.5816,25.7507,17.8601,6.7001,26.6385,20.4763,4.5872,26.1268,20.1811
6.8812,28.9572,16.8667,7.851,28.7821,16.5516,7.3694,28.9203,17.5723,4.8042,28.8406,17.6025,2.5219,28.1556,17.4047,1.2292,27.388,17.0081,2.837,27.6923,14.5856,3.5978,28.0683,15.1594,4.6182,28.5386,15.6153,6.869,28.4981,14.2521,6.0224,28.158,13.1906,4.8396,27.8754,12.4207,10.7083,26.329,10.263,10.5581,25.4103,8.0906,11.3202,24.906,7.9564,7.2197,27.6547,19.4337,5.4063,28.5532,16.6159,11.0054,27.5094,13.7297,11.3718,25.923,10.3091,11.9016,24.2064,7.874,11.032,24.1108,4.7618,8.5009,25.2823,6.3878,7.6609,27.4023,11.7501,4.258,27.0921,9.7452,1.0616,27.4995,19.0395,-1.4926,25.7498,17.8663,6.7738,26.683,20.4954,4.6803,26.2584,20.2461
6.9621,28.9594,16.9192,7.933,28.7771,16.6326,7.4413,28.9344,17.6231,4.8816,28.8627,17.6307,2.6191,28.147,17.435,1.3152,27.4021,17.0381,2.9568,27.6398,14.642,3.7132,28.0428,15.2126,4.7279,28.5058,15.6668,6.9953,28.4283,14.3545,6.1719,28.048,13.2954,5.003,27.7462,12.5178,10.8884,26.1229,10.5262,10.7846,25.0701,8.3888,11.5391,24.5927,8.2835,7.2926,27.696,19.4645,5.5005,28.6137,16.6877,11.1495,27.3506,13.896,11.5328,25.7201,10.6402,12.1198,23.8953,8.2649,11.3224,23.7205,5.1041,8.7261,24.9964,6.6261,7.9302,27.4305,12.0307,4.4524,26.8954,9.8572,1.139,27.5363,19.0569,-1.4175,25.8149,17.9016,6.8361,26.7595,20.5043,4.732,26.2608,20.2611
7.0391,28.9777,16.9782,8.008,28.786,16.7119,7.513,28.9655,17.675,4.9523,28.9151,17.6655,2.7049,28.1618,17.4664,1.3998,27.4155,17.0736,3.0734,27.5984,14.7104,3.8213,27.9968,15.276,4.835,28.4703,15.7262,7.1182,28.365,14.4623,6.3181,27.946,13.4158,5.16,27.6209,12.6318,11.0836,25.889,10.8096,10.9923,24.7911,8.7064,11.7588,24.2616,8.6372,7.3703,27.7754,19.5043,5.561,28.6814,16.7571,11.2021,27.3639,14.1452,11.6818,25.5842,10.956,12.3246,23.776,8.6178,11.5401,23.4928,5.4538,9.0033,24.4985,6.9521,8.0056,27.081,12.089,4.6473,26.6719,9.9908,1.2001,27.669,19.0725,-1.3439,25.81,17.9077,6.9017,26.8751,20.5571,4.7948,26.4651,20.3242
7.1132,28.9994,17.0371,8.0771,28.7957,16.7958,7.5853,28.9973,17.7303,5.0219,28.9747,17.7043,2.7859,28.1708,17.5042,1.4818,27.4424,17.1127,3.1851,27.5674,14.7842,3.9245,27.9737,15.3454,4.9294,28.4501,15.7915,7.2361,28.3353,14.5794,6.456,27.8568,13.5424,5.3143,27.5138,12.7556,11.2374,25.704,11.0964,11.1846,24.5318,9.0459,11.944,24.0137,8.9997,7.4392,27.836,19.5597,5.6285,28.7041,16.8118,11.3523,27.2929,14.3801,11.8751,25.3798,11.2415,12.4835,23.2965,9.055,11.8727,23.3158,5.8875,9.2082,24.2302,7.2545,8.1483,26.9798,12.3079,4.8345,26.4718,10.1405,1.2779,27.7234,19.0908,-1.2526,25.8577,17.9497,6.9582,26.9455,20.5599,4.8441,26.463,20.3135
7.1787,29.0095,17.0981,8.1435,28.8185,16.8846,7.6519,29.0232,17.788,5.0892,29.0324,17.742,2.8664,28.2136,17.5452,1.5659,27.4604,17.1559,3.2625,27.5861,14.8523,4.0272,27.9508,15.4195,5.023,28.4244,15.8612,7.3501,28.2895,14.7088,6.5922,27.7942,13.6811,5.4592,27.4144,12.8891,11.4066,25.5562,11.415,11.3717,24.2894,9.4026,12.1408,23.6951,9.404,7.4995,27.8694,19.5687,5.6929,28.753,16.8663,11.4701,27.3724,14.6426,12.034,25.0544,11.575,12.7162,23.004,9.4872,12.0364,22.6446,6.3069,9.3847,24.122,7.5809,8.3084,26.8857,12.5158,5.0259,26.2861,10.3147,1.3609,27.7632,19.1172,-1.1457,25.8607,17.9977,7.0514,27.0404,20.6038,4.9081,26.4807,20.358
7.2428,29.0387,17.1653,8.2046,28.8411,16.9722,7.7197,29.0617,17.8473,5.1597,29.0826,17.7806,2.9425,28.2645,17.5866,1.6471,27.4757,17.2027,3.3722,27.5889,14.9403,4.138,27.9389,15.5069,5.1151,28.4264,15.9376,7.4686,28.2632,14.8331,6.7174,27.7381,13.8221,5.604,27.3232,13.0301,11.5663,25.3858,11.737,11.5565,24.0489,9.7826,12.3101,23.5593,9.8101,7.577,27.9376,19.6097,5.758,28.7786,16.9243,11.5863,27.3672,14.9154,12.1804,25.0417,11.9202,12.909,22.838,9.9333,12.2364,22.2214,6.7608,9.5825,23.8205,7.9414,8.5612,27.039,12.8601,5.2058,26.1044,10.5038,1.4429,27.7723,19.1462,-1.0089,25.9247,18.0289,7.0878,27.0126,20.6397,4.9817,26.6309,20.4124
7.3037,29.0795,17.2326,8.264,28.8824,17.0672,7.7803,29.1085,17.909,5.2262,29.1441,17.8237,3.0141,28.3242,17.6264,1.7277,27.4973,17.2519,3.5083,27.4867,15.0354,4.235,27.9248,15.5899,5.1968,28.4285,16.0115,7.5644,28.2576,14.9677,6.8402,27.6939,13.9722,5.7358,27.2557,13.1784,11.6956,25.3584,12.0639,11.7059,23.9727,10.1729,12.4636,23.6237,10.2071,7.6413,27.9806,19.6341,5.7853,28.6964,16.8794,11.633,27.5323,15.1826,12.3523,25.0047,12.292,13.0545,22.6673,10.3788,12.4555,21.8487,7.287,9.7792,23.5219,8.3357,8.5747,26.6327,12.9067,5.3859,25.9062,10.7055,1.5181,27.814,19.1707,-0.9202,25.9815,18.0853,7.1527,27.0984,20.6579,5.0521,26.6191,20.4351
7.3631,29.1159,17.2989,8.3208,28.9196,17.1569,7.8388,29.1475,17.9626,5.2907,29.1917,17.8708,3.0796,28.3633,17.6651,1.8101,27.5282,17.3045,3.6122,27.4827,15.1264,4.3241,27.919,15.6784,5.2804,28.4436,16.0902,7.6559,28.2525,15.0979,6.9599,27.6662,14.1268,5.8619,27.2109,13.335,11.8226,25.4168,12.3938,11.8924,23.6777,10.596,12.6238,23.4266,10.6654,7.7,28.0598,19.6711,5.8661,28.6387,16.9057,11.7804,27.5021,15.3861,12.5149,24.9999,12.6031,13.2503,22.9848,10.782,12.635,21.4101,7.8295,9.971,23.2225,8.7586,8.7555,26.6625,13.2123,5.5558,25.729,10.9152,1.5897,27.8807,19.1972,-0.8764,25.8469,18.1061,7.2152,27.1666,20.7056,5.1423,26.7874,20.4758
7.4168,29.1557,17.3679,8.3701,28.9789,17.2461,7.8955,29.1969,18.0208,5.3593,29.2337,17.9186,3.1497,28.4395,17.7055,1.8844,27.5632,17.3591,3.7082,27.4701,15.2207,4.4083,27.922,15.7713,5.3543,28.475,16.1682,7.7567,28.2611,15.2406,7.0752,27.6316,14.2856,5.9952,27.1498,13.4971,11.9583,25.3097,12.7516,12.0454,23.5243,11.0265,12.7825,23.2887,11.1157,7.7676,28.1217,19.7026,5.9016,28.7084,16.966,11.8968,27.5289,15.6016,12.598,24.9424,13.0718,13.3535,22.424,11.3436,12.7867,21.081,8.3713,10.1483,22.9222,9.1973,8.8618,26.5695,13.4635,5.6919,25.6099,11.1443,1.6644,27.9909,19.2113,-0.8045,25.9485,18.1652,7.2859,27.1703,20.7278,5.1909,26.8775,20.5097
7.4707,29.1934,17.4357,8.4155,29.0396,17.3339,7.9528,29.2488,18.0754,5.4245,29.2851,17.9694,3.2099,28.5117,17.7502,1.9617,27.6072,17.4191,3.8012,27.4764,15.3215,4.4972,27.9471,15.8573,5.4239,28.5215,16.2434,7.8442,28.2787,15.3725,7.1761,27.6353,14.4473,6.1099,27.102,13.6603,12.084,25.2948,13.1118,12.1767,23.6391,11.4451,12.9262,23.1199,11.5981,7.8477,28.154,19.726,5.9774,28.9002,17.1462,11.9302,27.6359,15.8756,12.7492,24.7537,13.4138,13.4498,22.3995,11.8674,12.9212,20.986,8.9034,10.3152,22.7371,9.6373,8.9065,26.3059,13.6252,5.8637,25.4024,11.3882,1.7442,28.0542,19.2404,-0.6797,25.9937,18.2219,7.3721,27.2228,20.7389,5.2737,26.9069,20.5267
7.5184,29.2519,17.5087,8.4585,29.1028,17.4168,8.0106,29.3108,18.1328,5.4861,29.321,18.0239,3.2717,28.576,17.7878,2.0388,27.6696,17.4787,3.8889,27.4808,15.4215,4.5679,27.9717,15.9456,5.4879,28.5638,16.3199,7.9087,28.321,15.5069,7.2774,27.6255,14.6087,6.2127,27.0556,13.8231,12.1991,25.2409,13.4712,12.3125,23.5223,11.8896,13.0634,23.0721,12.0755,7.9134,28.2358,19.7606,6.0331,28.9572,17.1971,12.0039,27.7374,16.1121,12.823,24.7366,13.7777,13.6345,22.463,12.3285,13.0564,20.975,9.4684,10.4847,22.5336,10.1058,9.0611,26.5919,13.8885,5.994,25.5814,11.606,1.8211,28.1123,19.2625,-0.6067,26.0657,18.2671,7.4131,27.3837,20.7757,5.3204,26.9445,20.5895
7.5632,29.3042,17.5756,8.5032,29.187,17.5043,8.068,29.3692,18.1866,5.5505,29.3685,18.0755,3.3296,28.6448,17.838,2.1095,27.7043,17.5369,3.9714,27.4807,15.5267,4.6353,28.0061,16.031,5.5472,28.6111,16.3926,7.9776,28.3595,15.6352,7.3226,27.6481,14.7692,6.3241,27.0412,13.9901,12.3018,25.2684,13.8271,12.4378,23.461,12.3438,13.1952,22.9479,12.5829,7.9912,28.2655,19.7834,6.0216,28.9229,17.1683,12.0279,27.9411,16.3519,12.9392,24.8012,14.2058,13.7583,22.2744,12.8838,13.2107,20.7062,10.1101,10.6415,22.3414,10.5827,9.1537,26.6493,14.1537,6.14,25.3749,11.8551,1.8934,28.1805,19.2883,-0.5459,26.1532,18.3437,7.4852,27.4944,20.8234,5.4051,27.0747,20.6307
7.6044,29.3728,17.6417,8.5377,29.2625,17.5842,8.1192,29.4325,18.2408,5.6127,29.4105,18.126,3.3903,28.6956,17.8864,2.1744,27.7823,17.5945,4.0457,27.4989,15.6333,4.6957,28.0545,16.1158,5.6019,28.6742,16.4684,8.0375,28.4865,15.7614,7.4237,27.731,14.9269,6.4032,27.12,14.1639,12.4083,25.201,14.1951,12.5565,23.3578,12.8151,13.3078,22.851,13.0968,8.0605,28.3296,19.8051,6.0793,29.0711,17.2386,12.1193,28.0126,16.5724,13.038,25.0005,14.5385,13.8776,22.3732,13.4041,13.3234,19.9245,10.776,10.7819,22.2277,11.0625,9.2449,26.4865,14.3445,6.2793,25.274,12.1133,1.9699,28.2514,19.3199,-0.473,26.1912,18.3912,7.5788,27.5159,20.8495,5.45,27.0992,20.633
7.6433,29.4439,17.7063,8.5745,29.352,17.6653,8.1655,29.4993,18.293,5.6736,29.4567,18.1797,3.4595,28.7583,17.9392,2.2296,27.8563,17.653,4.1036,27.5843,15.7355,4.7475,28.1804,16.1861,5.656,28.7404,16.5407,8.1037,28.5229,15.8928,7.4977,27.7645,15.0791,6.4878,27.1333,14.3336,12.5062,25.2118,14.5486,12.664,23.3707,13.2592,13.4082,22.9273,13.5616,8.1388,28.3959,19.8371,6.1336,29.1702,17.3537,12.1756,28.1332,16.7712,13.1063,24.9811,14.9542,13.977,22.3887,13.8952,13.5554,20.3325,11.5045,10.9099,22.0139,11.5427,9.3361,26.5794,14.5595,6.4107,25.1771,12.3754,2.0532,28.2533,19.3533,-0.4109,26.3014,18.4574,7.6409,27.5809,20.8623,5.5533,27.1055,20.6598
7.6784,29.5324,17.7728,8.6021,29.4524,17.7435,8.2129,29.5697,18.3416,5.7389,29.5068,18.2293,3.5288,28.8148,17.9967,2.2855,27.9256,17.7099,4.1751,27.6019,15.8464,4.807,28.2334,16.2672,5.6848,28.831,16.6094,8.1534,28.6153,16.0278,7.5767,27.7874,15.2333,6.5846,27.077,14.5183,12.577,25.3295,14.8837,12.7503,23.4132,13.7085,13.5187,23.0547,14.037,8.2265,28.444,19.8629,6.1667,29.2459,17.4005,12.208,28.3337,17.0005,13.1543,25.0147,15.2915,14.0505,22.3422,14.4728,13.7155,19.9699,12.3334,11.0393,21.8759,12.0682,9.4039,26.5892,14.8182,6.5269,25.0662,12.644,2.1255,28.3297,19.3823,-0.3469,26.4056,18.5221,7.7447,27.541,20.9038,5.5993,27.141,20.6883
7.7135,29.6252,17.8371,8.6302,29.5628,17.8183,8.2551,29.6501,18.3912,5.8031,29.5667,18.28,3.5993,28.8672,18.0527,2.3516,28.0007,17.7662,4.2431,27.6414,15.9475,4.8596,28.3165,16.3441,5.7318,28.9271,16.6805,8.1978,28.7115,16.1502,7.6454,27.8357,15.3797,6.66,27.121,14.6911,12.6367,25.5382,15.1926,12.8458,23.2956,14.211,13.5891,22.953,14.5443,8.2923,28.4787,19.8774,6.1761,29.3234,17.4034,12.2526,28.5788,17.1975,13.225,24.9382,15.6545,14.1217,22.474,14.9267,13.7947,19.96,12.9096,11.1427,21.8964,12.5419,9.5034,26.8305,15.0593,6.6267,25.1999,12.9004,2.1987,28.4623,19.4127,-0.266,26.6161,18.6175,7.8151,27.5822,20.9433,5.683,27.2704,20.7206
7.7492,29.7242,17.9046,8.6595,29.6749,17.8921,8.2974,29.7355,18.4428,5.8638,29.6348,18.3345,3.6687,28.921,18.1107,2.4086,28.1001,17.8192,4.3104,27.695,16.0524,4.9122,28.3651,16.4227,5.7692,29.0421,16.7481,8.2455,28.7734,16.295,7.7055,27.9288,15.5313,6.7408,27.1348,14.8667,12.7133,25.4049,15.5971,12.912,23.3371,14.6158,13.6517,22.9504,14.9929,8.3714,28.5307,19.9112,6.2039,29.2786,17.3764,12.2957,28.7831,17.3958,13.3066,25.2104,15.9646,14.2566,22.5189,15.4646,13.8725,20.0121,13.5319,NaN,NaN,NaN,9.5214,26.8096,15.2885,6.7583,25.0466,13.1615,2.2853,28.4818,19.4537,-0.1929,26.7422,18.6871,7.8761,27.5591,20.95,5.7425,27.2316,20.7327
7.7788,29.8226,17.9695,8.6847,29.8021,17.9676,8.3373,29.827,18.4959,5.923,29.7117,18.3916,3.7346,28.9749,18.1685,2.4373,28.1715,17.876,4.3773,27.7126,16.161,4.9685,28.4099,16.5112,5.8023,29.1592,16.8127,8.289,28.9024,16.4187,7.7624,28.0337,15.6782,6.8054,27.2226,15.0432,NaN,NaN,NaN,NaN,NaN,NaN,13.75,22.9054,15.4974,8.4576,28.5682,19.9324,6.328,29.4168,17.5182,12.3197,28.9497,17.5763,13.3391,25.4563,16.3155,14.2703,22.7561,15.9418,13.8786,19.5928,14.1632,NaN,NaN,NaN,9.6089,27.1118,15.5126,6.8521,25.0564,13.4048,2.3622,28.6129,19.4812,-0.1243,26.8846,18.7504,7.9677,27.7228,21.0047,5.8482,27.3361,20.7786
7.8104,29.9369,18.0462,8.7137,29.9277,18.0469,8.3787,29.9145,18.5505,5.9849,29.789,18.4528,3.8095,29.0501,18.2307,2.4977,28.2527,17.9323,4.4337,27.7788,16.2673,5.0172,28.483,16.5913,5.8398,29.2541,16.8723,8.3311,29.0263,16.5458,7.8213,28.1023,15.8324,6.8778,27.2631,15.2214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5396,28.6352,19.9648,6.2998,29.6076,17.6203,12.3392,29.1693,17.7559,13.3219,25.5234,16.6269,14.3004,22.9692,16.3854,NaN,NaN,NaN,NaN,NaN,NaN,9.6118,27.0176,15.6982,6.9469,25.1034,13.6638,2.428,28.6286,19.5111,-0.1703,26.9531,18.7328,8.0442,27.724,21.0314,5.917,27.3504,20.7763
