Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
0.468,25.9973,16.4165,1.3835,25.9347,16.2809,1.0387,26.0706,16.9538,-1.4684,25.99,17.074,-3.652,25.054,17.1177,-4.8349,24.0559,17.0269,-3.2164,23.9207,14.899,-2.5656,24.5398,15.2496,-1.6572,25.2101,15.4694,0.7328,25.0346,14.595,0.0579,24.2551,13.8466,-1.0147,23.5351,13.2342,4.9972,21.7389,12.8711,5.0494,19.7571,11.6492,5.8522,19.3904,11.8611,1.1602,24.9583,18.5782,-1.0444,25.6402,16.2042,4.9039,24.706,15.0613,5.6911,21.5267,13.2146,6.4291,18.6995,12.1042,5.7993,16.3465,9.9233,3.1038,18.3883,10.2505,1.8099,23.0591,13.2603,-1.3062,21.4946,11.4247,-4.9353,24.7115,18.6788,NaN,NaN,NaN,0.8111,24.0116,19.7343,-1.318,23.6028,19.7058
0.5,26.1002,16.4592,1.4156,26.0452,16.3355,1.0775,26.161,16.9821,-1.4128,26.0542,17.1049,-3.5737,25.094,17.1455,-4.7815,24.1182,17.0542,-3.1454,23.9783,14.9746,-2.4986,24.6189,15.3001,-1.6021,25.2824,15.5234,0.7975,25.1479,14.6948,0.1441,24.3369,13.9626,-0.9169,23.5882,13.3632,5.0917,21.8549,13.1676,5.1771,19.7465,12.0533,5.9827,19.3792,12.2792,1.2283,25.0089,18.5763,-1.0808,25.7414,16.1879,4.9367,24.94,15.2253,5.775,21.6639,13.502,6.5421,18.7151,12.5491,5.9784,16.3465,10.5246,3.2411,18.49,10.6235,1.923,23.2337,13.4175,-1.1812,21.5836,11.604,-4.864,24.7611,18.6816,NaN,NaN,NaN,0.8301,24.0825,19.718,-1.281,23.7857,19.713
0.5336,26.2017,16.5041,1.4428,26.1736,16.3912,1.1163,26.2451,17.0084,-1.355,26.1208,17.1379,-3.5025,25.1557,17.1776,-4.6943,24.1891,17.0709,-3.064,24.0285,15.0392,-2.4371,24.6975,15.3509,-1.5531,25.3716,15.5725,0.8505,25.2841,14.7791,0.224,24.4126,14.079,-0.8216,23.6711,13.4821,5.177,21.9896,13.4413,5.2941,19.7521,12.4643,6.0686,19.4785,12.7059,1.2923,25.0396,18.5723,-0.9721,25.8608,16.2562,4.931,25.4012,15.3816,5.839,21.8522,13.8076,6.6946,18.9636,13.0123,6.0982,16.6237,11.0236,3.3997,18.2882,11.1055,2.0008,23.4437,13.6222,-1.0306,21.615,11.7859,-4.793,24.7997,18.6808,NaN,NaN,NaN,0.9254,24.2654,19.7419,-1.1782,23.8419,19.6986
0.5647,26.3274,16.5494,1.4706,26.2983,16.447,1.1528,26.3428,17.0376,-1.3,26.1874,17.1726,-3.4465,25.2311,17.2136,-4.6424,24.2679,17.1031,-2.984,24.0665,15.1159,-2.3717,24.7535,15.4116,-1.5158,25.5003,15.621,0.9048,25.3838,14.8717,0.3008,24.5063,14.1953,-0.728,23.7454,13.6195,5.2523,22.1518,13.7306,5.3792,19.956,12.8183,NaN,NaN,NaN,1.3611,25.0931,18.5702,-0.9564,25.9673,16.3028,5.031,25.3203,15.5618,5.9184,21.9278,14.1139,6.7766,19.2281,13.4067,6.235,16.0937,11.6406,NaN,NaN,NaN,2.0964,23.3729,13.7816,-0.9017,21.5667,11.9137,-4.7174,24.8498,18.6866,NaN,NaN,NaN,0.963,24.2698,19.7289,-1.1164,23.8192,19.7157
0.5913,26.4488,16.6018,1.4943,26.4355,16.5064,1.1875,26.4405,17.0726,-1.2448,26.2484,17.2054,-3.3899,25.3103,17.2449,-4.5814,24.316,17.1376,-2.9051,24.1084,15.1971,-2.3042,24.814,15.4783,-1.4742,25.6165,15.6607,0.9561,25.5275,14.967,0.3702,24.5923,14.3135,-0.6455,23.8239,13.7512,5.3307,22.2697,14.0121,NaN,NaN,NaN,NaN,NaN,NaN,1.4331,25.1393,18.5695,-0.9301,26.0701,16.3384,5.1454,25.1417,15.744,5.985,22.1563,14.3103,6.8387,19.2545,13.8723,NaN,NaN,NaN,NaN,NaN,NaN,2.1517,23.5847,13.9583,-0.7431,21.6514,12.158,-4.6525,24.9122,18.6853,NaN,NaN,NaN,1.0293,24.239,19.7388,-1.049,23.8723,19.7271
0.6153,26.5701,16.6587,1.5158,26.5734,16.5692,1.2198,26.5439,17.1113,-1.1916,26.3181,17.2442,-3.3347,25.3868,17.2703,-4.5198,24.4052,17.1669,-2.8254,24.1973,15.2742,-2.2377,24.9041,15.5427,-1.4433,25.7545,15.7019,0.995,25.7147,15.0609,0.4365,24.7448,14.4186,-0.5643,23.9342,13.8857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5068,25.1637,18.5613,-0.9029,26.1651,16.3704,5.0981,25.787,15.871,5.9911,22.5176,14.6199,6.9027,19.4638,14.2336,NaN,NaN,NaN,3.7511,18.5343,12.2857,2.2357,23.763,14.1282,-0.673,21.8278,12.3154,-4.5821,24.977,18.6821,NaN,NaN,NaN,1.1313,24.2719,19.7495,-0.9546,23.876,19.7021
0.6373,26.6902,16.724,1.5293,26.6439,16.6382,1.2551,26.6383,17.1566,-1.1386,26.3893,17.288,-3.273,25.478,17.2964,-4.4625,24.4704,17.2028,-2.7524,24.2905,15.3547,-2.1777,25.0002,15.6124,-1.4104,25.8798,15.7455,1.0356,25.8351,15.1691,0.4941,24.9202,14.5197,-0.4813,24.0387,14.0186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.585,25.2133,18.5653,-0.8826,26.257,16.424,5.0769,26.3141,16.0051,6.0684,22.6729,14.8549,6.9311,19.6515,14.597,NaN,NaN,NaN,3.8368,18.6949,12.6876,2.2755,23.8946,14.2828,-0.5633,21.8448,12.4948,-4.5132,25.0392,18.6799,NaN,NaN,NaN,1.1991,24.2852,19.7364,-0.9183,23.9779,19.7174
0.6577,26.8118,16.7959,1.5362,26.7012,16.7176,1.29,26.7461,17.2028,-1.0845,26.4609,17.3354,-3.2309,25.59,17.3336,-4.3927,24.5687,17.2348,-2.6759,24.367,15.4426,-2.1289,25.1145,15.681,-1.3773,26.013,15.794,1.0784,26.003,15.2724,0.5424,25.0933,14.6286,-0.4133,24.1877,14.1481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6543,25.2487,18.5654,-0.8655,26.3619,16.4663,5.1494,26.3101,16.1759,6.0988,22.7737,15.0478,7.0045,20.0563,14.9149,NaN,NaN,NaN,3.8088,18.8806,13.0558,2.341,24.2844,14.4108,-0.4788,22.0349,12.6544,-4.4465,25.1077,18.6812,NaN,NaN,NaN,1.271,24.3412,19.7748,-0.8141,23.9076,19.7199
0.6822,26.9319,16.8629,1.5506,26.9999,16.7917,1.3273,26.8486,17.2562,-1.0316,26.542,17.3846,-3.1746,25.6982,17.367,-4.3284,24.6728,17.2689,-2.6045,24.4788,15.5284,-2.0859,25.2883,15.7447,-1.3473,26.1533,15.8489,1.1098,26.2032,15.367,0.601,25.2444,14.7269,-0.3425,24.3558,14.2697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7285,25.2901,18.5653,-0.839,26.4032,16.5208,5.2488,26.0852,16.3597,6.1241,23.0969,15.2387,7.0192,20.261,15.2404,NaN,NaN,NaN,3.8461,19.131,13.4316,2.3758,24.4683,14.5887,-0.3967,22.2292,12.8225,-4.376,25.1797,18.6761,NaN,NaN,NaN,1.34,24.3483,19.7615,-0.7229,23.9352,19.695
0.7006,27.0272,16.9402,1.5649,27.1609,16.8854,1.3622,26.9402,17.3144,-0.9808,26.605,17.4339,-3.125,25.7982,17.4059,NaN,NaN,NaN,-2.5365,24.596,15.6173,NaN,NaN,NaN,-1.3157,26.2823,15.9163,1.1371,26.3961,15.4724,0.6401,25.4568,14.8254,-0.288,24.5216,14.3922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7982,25.3305,18.5625,-0.8218,26.4912,16.5878,5.184,26.8168,16.4702,NaN,NaN,NaN,7.0624,20.6573,15.5339,NaN,NaN,NaN,NaN,NaN,NaN,2.4105,24.7143,14.7344,-0.3259,22.4161,12.9843,-4.3087,25.2543,18.6765,-6.661,23.456,18.2523,1.4228,24.3099,19.7597,-0.6932,23.9472,19.7088
