shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
16.1067,29.37,24.4151,13.5679,32.1359,22.9547,16.9627,36.4138,19.8016,15.8157,38.9152,17.1605,NaN,NaN,NaN,13.426,42.9711,14.0596,11.5554,40.9441,15.9054,13.0961,36.6756,19.5265,11.3607,36.8291,19.2648,9.137,36.9206,19.2404,9.8235,29.5853,24.4349,7.0123,28.9041,24.1067,15.5995,28.3626,25.8,13.326618,28.099043,25.780199
16.1997,29.3895,24.4308,13.6635,32.1339,22.9336,17.1047,36.3075,19.5987,15.9943,38.6401,16.8511,NaN,NaN,NaN,13.8221,42.8766,13.8143,11.7495,40.8087,15.6452,13.292,36.511,19.3276,11.4848,36.7259,19.0506,9.2695,36.8472,19.036,9.9148,29.5571,24.453,7.0985,28.8848,24.1256,15.696,28.3709,25.8074,13.431978,28.108039,25.788707
16.3021,29.3985,24.4392,13.7831,32.1169,22.888,17.2673,36.3175,19.4228,16.1495,38.2323,16.5382,NaN,NaN,NaN,14.0944,42.641,13.5013,11.937,40.6463,15.3749,13.5592,36.2542,19.1405,11.6173,36.6385,18.8864,9.4668,36.7075,18.8339,10.0198,29.5885,24.5175,7.2179,28.7573,24.1006,15.8068,28.398,25.8179,13.549131,28.130427,25.794546
16.4144,29.4057,24.4588,13.8968,32.0981,22.8387,17.431,36.1694,19.2516,16.3717,38.1436,16.294,NaN,NaN,NaN,14.2349,42.3705,13.1754,12.1239,40.4209,15.0966,13.7055,36.1121,18.9679,11.7693,36.5498,18.7227,9.5188,36.6396,18.7038,10.1271,29.5467,24.5186,7.2871,28.7465,24.1232,15.9184,28.4105,25.8212,13.657266,28.120776,25.813293
16.5065,29.4256,24.4625,14.0087,32.0717,22.7922,17.5374,35.6911,19.148,16.5956,38.2519,16.381,NaN,NaN,NaN,14.3817,42.0519,12.8312,12.3116,40.1701,14.8104,13.659,36.2598,18.9066,11.9327,36.3895,18.5917,9.6837,36.5136,18.5751,10.1221,29.4419,24.4694,7.4612,28.7697,24.0885,16.0224,28.4379,25.8376,13.767951,28.129089,25.814342
16.6178,29.4673,24.4814,14.129,32.0694,22.7464,17.7614,35.8469,18.9633,16.8194,37.8951,16.0844,16.3814,39.4738,13.714,14.5144,41.6867,12.4944,12.4937,39.8721,14.52,14.0282,35.8269,18.6801,12.1206,36.244,18.4608,9.8218,36.5604,18.4345,10.3312,29.6633,24.5102,7.5788,28.702,24.1079,16.1363,28.4784,25.8496,13.87103,28.144323,25.823861
16.7258,29.4711,24.4933,14.2483,32.03,22.6997,17.9361,35.6948,18.8416,16.8834,37.385,15.7505,16.501,39.2991,13.5197,14.6445,41.3065,12.1775,12.6795,39.5836,14.2462,14.0962,35.8356,18.5967,12.2961,36.0808,18.3204,9.9569,36.3772,18.3239,10.4386,29.6757,24.4535,7.6602,28.6396,24.088,16.2333,28.49,25.8536,13.987476,28.161546,25.826056
16.8479,29.5771,24.5375,14.3696,32.0453,22.6563,18.1177,35.5678,18.7313,17.112,37.2248,15.5464,16.7212,38.8255,13.2786,14.8009,40.9059,11.8678,12.8569,39.2015,13.9645,14.2458,35.6229,18.4354,12.4718,35.9469,18.2018,10.1137,36.1684,18.1954,10.5162,29.6358,24.4526,7.7613,28.6132,24.0792,16.3386,28.5214,25.8583,14.094816,28.177105,25.828752
16.9334,29.5344,24.5297,14.4819,32.0258,22.6144,18.3126,35.402,18.6289,17.2597,36.8431,15.4073,16.825,38.0829,12.9673,14.9785,40.4672,11.5562,13.0408,38.8485,13.7024,14.5147,35.4299,18.2951,12.6823,35.8505,18.0499,10.4745,35.8779,18.0088,10.6207,29.6326,24.4653,7.8797,28.7164,24.0721,16.444,28.5564,25.8693,14.208444,28.20803,25.839342
17.0386,29.5612,24.5378,14.599,32.0101,22.5713,18.5046,35.2434,18.5344,17.4889,36.6107,15.2237,17.0268,37.9075,12.8545,15.1786,40.0381,11.2484,13.2235,38.4789,13.4611,14.6597,35.3936,18.2515,12.8565,35.5719,17.9407,10.6343,35.7304,17.8642,10.7249,29.6395,24.4865,7.9809,28.5559,24.0784,16.5569,28.5933,25.8759,14.321894,28.225648,25.835855
17.1601,29.5923,24.5565,14.7223,31.9933,22.5352,18.7033,35.0648,18.4529,17.6558,36.245,15.1083,17.2945,37.4178,12.6227,15.4048,39.5944,10.953,13.4375,38.0821,13.2216,14.8311,35.2849,18.1483,13.0633,35.4536,17.8094,10.7964,35.6538,17.733,10.8272,29.6502,24.5085,8.098,28.6097,24.1132,16.6646,28.6251,25.8831,14.427284,28.265845,25.84575
17.2462,29.65,24.5715,14.8322,31.9671,22.501,18.8692,34.7422,18.4075,17.9095,36.0162,14.9595,17.4361,37.0088,12.385,15.6432,39.1533,10.6783,13.652,37.7101,13.003,15.0836,34.9776,18.0141,13.2452,35.1781,17.6942,11.0725,35.2902,17.566,10.926,29.6802,24.5354,8.2115,28.6494,24.131,16.7761,28.6679,25.8913,14.540251,28.312268,25.848404
17.4072,29.7416,24.5748,14.9605,31.9221,22.4615,19.0144,34.4045,18.3765,18.1036,35.69,14.8613,17.7302,36.982,12.3721,15.8971,38.6587,10.411,13.887,37.3215,12.7846,15.2096,34.8438,17.9247,13.4279,35.1449,17.5702,11.2364,35.2178,17.4151,11.0221,29.7137,24.5668,8.2626,28.6802,24.1501,16.8898,28.7264,25.9029,14.651853,28.343124,25.85293
17.471,29.7408,24.6143,15.0776,31.926,22.4255,19.2154,34.2421,18.322,18.3462,35.4159,14.7358,18.0139,36.3882,12.1512,16.1458,38.1615,10.1539,14.131,36.9359,12.5857,15.3642,34.7809,17.8389,13.6849,34.8556,17.4489,11.4242,34.9898,17.2753,11.1167,29.7523,24.5975,8.4012,28.5548,24.149,16.9999,28.7757,25.9159,14.761628,28.36652,25.860803
17.5569,29.8271,24.6387,15.2058,31.8984,22.3963,19.4828,34.4335,18.2312,18.5576,35.1142,14.6593,18.2061,35.8155,11.9675,16.4149,37.6622,9.9219,14.3985,36.5448,12.392,15.5727,34.4853,17.7205,13.8824,34.6341,17.3263,11.6164,34.8603,17.1364,11.2198,29.7817,24.6251,8.5117,28.6371,24.1646,17.1103,28.8288,25.9329,14.878413,28.410431,25.867861
17.6751,29.8525,24.6594,15.3035,31.8438,22.3773,19.6817,34.2462,18.1938,18.8624,34.8252,14.5713,18.5624,35.8455,12.0423,16.6944,37.1536,9.7132,14.6787,36.1678,12.2011,15.7827,34.3125,17.6207,14.0654,34.5458,17.2085,11.9247,34.5103,16.9797,11.3166,29.8316,24.6627,8.6099,28.7143,24.2081,17.2198,28.8741,25.9459,14.990753,28.449709,25.880604
17.7708,29.9174,24.6874,15.4342,31.8367,22.3448,19.8772,34.0877,18.1784,19.0594,34.5582,14.5362,18.8087,35.1569,11.7592,16.9934,36.6377,9.5185,14.9705,35.791,12.0241,16.0202,34.0995,17.5307,14.3063,34.2504,17.0817,12.1309,34.3073,16.8244,11.4137,29.8825,24.6975,8.7511,28.8014,24.2932,17.33,28.9421,25.9616,15.098911,28.484388,25.890624
17.8921,29.9605,24.7128,15.549,31.799,22.3266,20.0512,33.7992,18.1762,19.3441,34.41,14.4614,19.1089,34.73,11.6564,17.3123,36.1506,9.3564,15.2709,35.4229,11.8605,16.1181,33.9242,17.4335,14.5165,34.0687,16.9599,12.3329,34.0985,16.6612,11.5086,29.9184,24.7245,8.8232,28.9082,24.3606,17.4365,28.9867,25.9794,15.210213,28.55693,25.900269
17.9913,30.0252,24.7326,15.6719,31.7743,22.3094,20.2695,33.7584,18.1598,19.5677,34.1007,14.4369,19.3686,34.3773,11.6274,17.6437,35.6773,9.2173,15.5805,35.0772,11.7286,16.3108,33.6455,17.2568,14.743,33.8724,16.8473,12.5812,33.8467,16.4882,11.6111,29.9697,24.7554,8.9487,28.7571,24.3108,17.5439,29.0632,26.0085,15.317102,28.605241,25.914821
18.1078,30.0984,24.7785,15.7887,31.7831,22.3025,20.436,33.4923,18.1813,19.8644,33.7901,14.4161,19.7646,34.2929,11.7482,18.0095,35.2052,9.1039,15.8892,34.7384,11.6042,16.5382,33.5802,17.2624,14.9629,33.7848,16.7213,12.7666,33.6731,16.3425,11.7109,30.0173,24.7916,9.0483,28.8611,24.3468,17.6458,29.1142,26.0263,15.443708,28.656679,25.930542
18.2077,30.1513,24.8141,15.9199,31.7455,22.2892,20.6507,33.4485,18.185,20.0773,33.4471,14.4365,20.0585,33.5871,11.5437,18.3657,34.7776,9.0186,16.2091,34.3868,11.5001,16.7822,33.3635,17.1808,15.1751,33.4591,16.6286,12.9617,33.4683,16.1952,11.8172,30.0724,24.8281,9.139,28.8876,24.3906,17.755,29.179,26.0562,15.552906,28.715163,25.952086
18.3034,30.2122,24.8434,16.0374,31.7213,22.2923,20.8154,33.183,18.2282,20.3662,33.2076,14.4406,20.3391,33.3048,11.6198,18.7447,34.3598,8.9637,16.5282,34.0669,11.4148,16.9669,33.2018,17.1273,15.3725,33.3815,16.539,13.1949,33.261,16.0618,11.9237,30.1186,24.8565,9.2924,28.9229,24.4332,17.86,29.2533,26.0852,15.661614,28.77263,25.96886
18.42,30.2706,24.8811,16.1614,31.7078,22.2929,21.01,33.0133,18.2631,20.602,32.9147,14.4843,20.7224,33.114,11.7055,19.1293,33.9621,8.9328,16.8579,33.7154,11.3428,17.1834,33.085,17.0879,15.6177,33.1783,16.4617,13.4219,33.048,15.9444,12.0302,30.1688,24.885,9.3671,28.967,24.4263,17.9759,29.3282,26.1076,15.773966,28.840911,25.992624
18.5297,30.3385,24.9159,16.286,31.6923,22.2954,21.1971,32.8559,18.3187,20.8955,32.6493,14.531,20.9543,32.5675,11.6829,19.5143,33.5425,8.9223,17.1933,33.3756,11.2965,17.3614,32.9958,17.0948,15.8571,32.8385,16.4215,13.6619,32.8102,15.851,12.1338,30.2158,24.9146,9.4729,28.9856,24.4667,18.0931,29.3938,26.141,15.888434,28.911315,26.021447
18.6376,30.4201,24.9557,16.4059,31.6555,22.3062,21.3851,32.7344,18.3895,21.1297,32.4051,14.6067,21.3023,32.2482,11.7667,19.8974,33.1641,8.9482,17.5201,33.0222,11.2743,17.6122,32.6845,17.0633,15.9761,32.7802,16.3997,13.8874,32.5734,15.7827,12.2412,30.26,24.9347,9.59,28.9825,24.4867,18.1935,29.4829,26.1775,15.999108,28.963456,26.051214
18.7326,30.4889,24.9965,16.523,31.6483,22.3325,21.5732,32.5934,18.4711,21.4186,32.3168,14.6575,21.5892,31.9026,11.8524,20.2669,32.766,8.9902,17.8447,32.7017,11.2788,17.8749,32.4174,17.1006,16.1945,32.6621,16.3829,14.1141,32.308,15.7324,12.3441,30.3116,24.9651,9.718,28.9874,24.5086,18.3009,29.5376,26.2024,16.10857,29.029391,26.081518
18.8235,30.5731,25.0383,16.6452,31.6362,22.3585,21.7653,32.4422,18.5711,21.6599,31.934,14.781,21.8901,31.5563,11.9709,20.6406,32.3752,9.0717,18.1689,32.3371,11.3054,18.0768,32.2093,17.1153,16.2789,32.3468,16.3616,14.3541,32.109,15.715,12.4557,30.3368,24.9776,9.8268,29.0829,24.4999,18.4048,29.611,26.2418,16.217225,29.082954,26.11141
18.9505,30.643,25.0772,16.7592,31.6332,22.384,21.9509,32.3383,18.6894,21.9001,31.7545,14.9058,22.2111,31.4964,12.2534,20.9958,31.9621,9.1713,18.4835,31.9884,11.3565,18.2834,32.0981,17.1869,NaN,NaN,NaN,14.6587,31.9906,15.7647,12.5722,30.3683,24.9992,9.9045,29.0841,24.4951,18.5098,29.7024,26.2814,16.323548,29.157487,26.144613
19.0656,30.6902,25.1229,16.8699,31.6447,22.4248,22.142,32.202,18.8147,22.151,31.4218,15.0645,22.5357,31.1604,12.3818,21.3406,31.5702,9.2998,18.7973,31.6304,11.4361,18.4962,31.9607,17.2523,NaN,NaN,NaN,14.9225,31.8222,15.7879,12.6875,30.4048,25.0167,10.045,29.0943,24.4891,18.6319,29.782,26.3178,16.434055,29.234487,26.185425
19.154,30.7845,25.1733,16.9892,31.6491,22.469,22.323,32.1143,18.9625,22.3971,31.1814,15.2323,22.9953,31.0485,12.3962,21.6917,31.164,9.4631,19.1195,31.2801,11.544,18.7083,31.8407,17.3244,16.433,31.6449,16.1264,15.1533,31.5815,15.8042,12.8029,30.4388,25.0374,10.2059,29.0408,24.5062,18.7309,29.8568,26.3646,16.5494,29.300704,26.224197
19.2574,30.84,25.2134,17.0903,31.6933,22.5238,22.5056,32.0157,19.1195,22.6404,30.9758,15.4272,23.1361,30.4214,12.7328,22.0317,30.7378,9.643,19.4221,30.9734,11.6798,18.9167,31.6675,17.4074,NaN,NaN,NaN,15.438,31.4194,15.8564,12.9118,30.4801,25.0574,10.3489,29.0379,24.5246,18.8377,29.9361,26.3971,16.666416,29.377869,26.265069
19.3816,30.8955,25.241,17.1909,31.6986,22.5739,22.6884,31.9245,19.2923,22.8705,30.8029,15.6448,23.442,30.3172,13.0048,22.3649,30.3495,9.8612,19.722,30.6327,11.8358,19.1338,31.5353,17.5457,NaN,NaN,NaN,15.6144,31.1823,15.9318,13.0296,30.5094,25.0717,10.477,29.0426,24.5464,18.9575,29.9922,26.4272,16.781993,29.450412,26.308762
19.4727,30.9629,25.2861,17.3169,31.7218,22.6249,22.864,31.8508,19.4811,23.1129,30.6002,15.8835,23.6746,29.8277,13.2237,22.6904,29.9462,10.1054,20.033,30.3056,12.0296,19.3673,31.4028,17.7126,NaN,NaN,NaN,15.8039,30.9668,15.982,13.1528,30.5354,25.095,10.6642,29.0796,24.4884,19.0642,30.0719,26.4694,16.89317,29.510747,26.350991
19.5662,31.084,25.3456,17.4143,31.7624,22.6919,23.0299,31.7951,19.6852,23.3391,30.4202,16.1318,23.9414,29.5031,13.5407,23.0196,29.5275,10.3864,20.329,30.0063,12.2489,19.5699,31.2624,17.8574,NaN,NaN,NaN,15.9836,30.8787,16.0701,13.276,30.5578,25.114,10.8314,29.0567,24.5689,19.1629,30.1352,26.5114,17.009103,29.584202,26.395481
19.6926,31.1372,25.3959,17.5102,31.816,22.758,23.2012,31.7479,19.9023,23.5622,30.2571,16.4286,24.2063,29.1136,13.8318,23.352,29.1088,10.7028,20.612,29.7384,12.4919,19.7821,31.1737,18.0356,NaN,NaN,NaN,16.2863,30.5814,16.1889,13.3981,30.591,25.1385,10.9881,28.989,24.5691,19.2694,30.2253,26.5512,17.130549,29.660186,26.43998
19.8072,31.2035,25.4374,17.6023,31.8705,22.8279,23.358,31.7434,20.1292,23.7904,30.101,16.7057,24.5383,29.1092,14.2882,23.6547,28.7836,11.0497,20.9081,29.444,12.7683,19.9789,31.1053,18.2217,NaN,NaN,NaN,16.5264,30.4339,16.3197,13.5222,30.626,25.1536,11.1571,28.9862,24.5858,19.3713,30.296,26.5952,17.248286,29.723962,26.483659
19.8997,31.2762,25.4758,17.7106,31.8913,22.8882,23.5098,31.7405,20.3691,23.9971,30.0807,17.0186,24.7135,28.7678,14.5593,23.9898,28.2936,11.442,21.1946,29.1218,13.0588,20.1671,31.0207,18.4127,NaN,NaN,NaN,16.7738,30.3435,16.4506,13.6508,30.6631,25.18,11.2768,28.8801,24.5634,19.4859,30.3781,26.637,17.360092,29.789885,26.523922
20.0106,31.3505,25.5338,17.8073,31.9456,22.9615,23.6683,31.7602,20.6129,24.2051,29.9965,17.3482,25.0261,28.6097,15.0466,24.1535,28.3595,11.836,21.4623,28.8636,13.3751,20.3601,30.9208,18.5962,NaN,NaN,NaN,NaN,NaN,NaN,13.7715,30.6895,25.1978,11.4382,29.0061,24.5737,19.5873,30.4582,26.6881,17.471782,29.868387,26.577625
20.107,31.4059,25.5724,17.8841,32.0127,23.0359,23.8161,31.8113,20.867,24.4405,29.9144,17.684,25.1694,28.2575,15.4149,NaN,NaN,NaN,21.7315,28.6221,13.7208,20.5485,30.8805,18.8146,NaN,NaN,NaN,NaN,NaN,NaN,13.8999,30.7317,25.229,11.5902,28.9011,24.5908,19.6957,30.5379,26.7284,17.588629,29.939199,26.619922
20.2181,31.5018,25.6253,17.9881,32.0488,23.098,23.9578,31.8636,21.1249,24.5918,29.7677,18.0607,25.437,28.2144,15.8901,NaN,NaN,NaN,21.9835,28.4444,14.0852,20.7233,30.8603,19.0364,NaN,NaN,NaN,NaN,NaN,NaN,14.0312,30.7657,25.2528,11.7354,29.0077,24.6122,19.7974,30.616,26.7716,17.712311,30.01675,26.671573
20.3008,31.6113,25.6755,18.0815,32.1295,23.1687,24.0893,31.9447,21.3939,NaN,NaN,NaN,25.6886,28.1256,16.2832,NaN,NaN,NaN,22.2392,28.1827,14.4698,20.91,30.8944,19.2941,NaN,NaN,NaN,NaN,NaN,NaN,14.1523,30.8158,25.2775,11.9069,28.9617,24.631,19.9053,30.6886,26.817,17.821374,30.095154,26.715981
20.429,31.6317,25.7058,NaN,NaN,NaN,24.2115,32.0188,21.6491,NaN,NaN,NaN,25.8989,28.0984,16.8722,NaN,NaN,NaN,22.4844,27.9715,14.8796,21.0786,30.9249,19.534,NaN,NaN,NaN,NaN,NaN,NaN,14.268,30.8805,25.3098,12.0485,28.9514,24.6524,20.0193,30.7517,26.8575,17.933284,30.169165,26.764759
20.5506,31.7193,25.7582,NaN,NaN,NaN,24.3258,32.1176,21.916,NaN,NaN,NaN,26.0434,27.7346,17.2915,NaN,NaN,NaN,22.7074,27.8269,15.2851,21.2279,30.9917,19.7911,NaN,NaN,NaN,NaN,NaN,NaN,14.3879,30.9463,25.3397,12.1844,29.0739,24.6894,20.1284,30.8104,26.9008,18.044877,30.224273,26.807137
20.6314,31.8044,25.8133,NaN,NaN,NaN,24.4323,32.24,22.1749,NaN,NaN,NaN,26.2842,27.6783,17.7811,NaN,NaN,NaN,22.9433,27.6795,15.7131,21.3879,31.0212,20.0348,NaN,NaN,NaN,NaN,NaN,NaN,14.5065,30.9929,25.3622,12.2955,29.0623,24.7057,20.2278,30.887,26.9563,18.161002,30.295434,26.856648
20.9107,32.2336,26.0489,18.3854,32.5266,23.4342,24.5246,32.3845,22.4279,NaN,NaN,NaN,26.4545,27.7651,18.3402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6336,31.0529,25.3958,12.4517,29.144,24.783,20.3467,30.9274,26.9833,18.270406,30.353025,26.900289
20.9105,32.11,25.8781,18.4601,32.6449,23.4958,24.6107,32.5336,22.6746,NaN,NaN,NaN,26.5953,27.7231,18.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.7582,31.1121,25.431,12.5684,29.2523,24.8167,20.4695,30.9836,27.0258,18.384044,30.414727,26.936924
21.0268,32.1505,26.0684,18.5433,32.7596,23.568,24.6887,32.713,22.9154,NaN,NaN,NaN,26.7913,27.6555,19.3626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8782,31.1688,25.46,12.6774,29.2838,24.8309,20.5773,31.0232,27.0679,18.50305,30.49141,26.983248
21.1003,32.1391,26.018,18.6236,32.8857,23.6499,24.7527,32.9056,23.1524,NaN,NaN,NaN,26.8704,27.7635,19.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0007,31.2407,25.4959,12.7693,29.3663,24.8466,20.6905,31.0804,27.1114,18.621118,30.537925,27.019816
21.1919,32.147,26.0375,18.6764,33.0389,23.7361,24.8198,33.0968,23.3836,NaN,NaN,NaN,26.943,27.8641,20.3239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1192,31.3133,25.5317,12.9038,29.4505,24.8987,20.8084,31.1398,27.162,18.733671,30.582677,27.059718
21.3319,32.1935,26.0465,18.7443,33.1776,23.8247,24.8743,33.3334,23.607,NaN,NaN,NaN,27.0232,27.9642,20.8302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.233,31.3883,25.5696,12.9566,29.568,24.9397,20.9398,31.1993,27.204,18.846691,30.655376,27.106225
21.4437,32.2656,26.1037,18.8091,33.3087,23.9322,24.9332,33.5558,23.8313,NaN,NaN,NaN,27.0535,27.9175,21.2064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.346,31.4884,25.6103,13.0469,29.7209,24.9733,21.0567,31.2502,27.2566,18.961732,30.68048,27.148608
21.5599,32.3196,26.1336,NaN,NaN,NaN,24.9832,33.7987,24.0494,NaN,NaN,NaN,27.108,28.1517,21.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.4642,31.5606,25.6455,13.1257,29.9371,25.0231,21.1628,31.2876,27.3148,19.070493,30.72358,27.184868
21.6821,32.3497,26.1681,NaN,NaN,NaN,25.0295,34.0211,24.2664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5769,31.6429,25.6839,13.1874,29.9775,25.0401,21.2871,31.3368,27.3648,19.184457,30.776936,27.237874
21.7863,32.4701,26.2209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6931,31.7233,25.721,13.2448,30.1078,25.0795,21.408,31.3959,27.4276,19.30676,30.84387,27.275774
21.8933,32.505,26.2391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.8106,31.8108,25.7628,13.3229,30.2815,25.1541,21.5217,31.4371,27.4787,19.414348,30.875871,27.32101
22.0294,32.6091,26.3001,19.1584,33.8353,24.5038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9209,31.911,25.8083,13.457,30.4268,25.1599,21.637,31.4683,27.5387,19.530927,30.920893,27.369379
22.1487,32.5765,26.3517,19.2393,33.888,24.6207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0263,32.0257,25.8562,13.5024,30.6359,25.2151,21.7661,31.5136,27.5858,19.6515,30.958748,27.418571
22.308,32.6072,26.3857,19.3226,33.9664,24.7348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.133,32.1233,25.9072,13.5475,30.8185,25.2503,21.8817,31.5478,27.6546,19.772987,31.019494,27.47227
22.3815,32.6537,26.4199,19.4226,34.028,24.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.7077,28.712,21.9531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2363,32.2721,25.9556,13.5859,30.9875,25.315,22.0105,31.599,27.7165,19.886654,31.058274,27.524518
22.5338,32.6994,26.4754,19.5174,34.0889,24.9574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.6589,28.8492,22.1911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3523,32.3245,26.0038,13.6916,31.1915,25.3643,22.1215,31.628,27.7749,20.009973,31.099688,27.574448
22.6714,32.7779,26.5358,19.6233,34.1533,25.0699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.5091,29.1696,22.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4646,32.4255,26.0557,13.7743,31.4383,25.3959,22.248,31.6788,27.8478,20.122868,31.117672,27.617858
22.7829,32.8114,26.5539,19.7241,34.1991,25.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.3847,29.5244,22.7493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5822,32.5376,26.1112,13.8195,31.5951,25.4114,22.3683,31.7122,27.9059,20.240398,31.146401,27.675541
22.8605,32.9763,26.6237,19.8311,34.303,25.2877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.3227,29.792,22.9771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7291,32.611,26.2061,13.9247,31.6701,25.5072,22.4891,31.7511,27.9707,20.350501,31.215115,27.738888
23.0323,32.9175,26.6731,19.9427,34.3442,25.3944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2367,30.0471,23.1025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7377,32.6535,26.2015,14.0285,31.9604,25.5629,22.6176,31.814,28.0372,20.465252,31.215334,27.787659
23.1465,33.011,26.7305,20.041,34.4337,25.5023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.1894,30.3789,23.2446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.946,32.8283,26.3203,14.1294,32.2075,25.6827,22.7328,31.8433,28.105,20.57878,31.251883,27.840452
23.45,32.8929,26.7549,20.1349,34.5437,25.6036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0881,30.7837,23.3299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.0702,32.8274,26.3415,14.2723,32.3192,25.7548,22.8546,31.8707,28.161,20.694674,31.285408,27.891153
23.5852,33.3934,26.9358,20.2239,34.6459,25.7038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.193,32.9793,26.47,14.3121,32.5186,25.8408,22.9818,31.9088,28.225,20.802377,31.319804,27.93848
NaN,NaN,NaN,20.3082,34.7628,25.8415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.326,33.0444,26.534,14.4636,32.7256,25.9329,23.1008,31.9416,28.2903,20.914309,31.332341,27.985259
23.8219,33.4646,27.0638,20.3986,34.8901,25.9993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4445,33.0778,26.5881,14.5757,32.7859,25.9677,23.2114,31.9703,28.3519,21.019552,31.373962,28.037828
